word,reading,meaning,,source,,related
有為無常,ういむじょう,この世の全ての現象や存在は常に移り変わり、はかないものということ。 仏教語から「有為」は様々な因縁から生じる現象。,,,４,有為転変（ういてんぺん） 盛者必衰（じょうしゃひっすい） 諸行無常（しょぎょうむじょう）
右往左往,うおうさおう（うおうざおう）,多くの人々があっちへ行ったり、こっちへ行ったりして混乱すること。 慌てていて、秩序無く入り乱れている様子をいう。 「左往右往」ともいう。,左往右往（さおううおう）,,５,周章狼狽（しゅうしょうろうばい）
雨過天晴,うかてんせい,物事の悪い状況や状態がよい方向へ向かうこと。 雨が止み、雲がなくなり晴れ渡るという意味から。 「雨過ぎて天晴る」とも読む。 「雨過天青」とも書く。,雨過天青（うかてんせい）,,５,
盈盈一水,えいえいいっすい,愛する人に言葉をかけることが出来ない苦しい思いのこと。 「盈盈」は水が満ちている様子。 「一水」は一筋の川のこと。 牽牛と織女の七夕伝説を題材に、一筋の天の河で隔てられているために、見つめるだけで会話することが出来ない切なさをうたった詩。 「盈盈たる一水」とも読む。 「一水盈盈」ともいう。,一水盈盈（いっすいえいえい）,『文選』「古詩十九首」,準１,
永永無窮,えいえいむきゅう,果てしなく続くこと。または、終わりのない永遠に続く長い時間。 「無窮」は限りが無いこと。 「永永として窮まり無し」とも読む。,永々無窮（えいえいむきゅう）,『史記』「文帝記」,準２,永遠無窮（えいえんむきゅう） 永世無窮（えいせいむきゅう） 未来永劫（みらいえいごう）
永遠無窮,えいえんむきゅう,果てしなく続くこと。または、終わりのない永遠に続く長い時間。 「無窮」は限りが無いこと。,,,,永永無窮（えいえいむきゅう） 永世無窮（えいせいむきゅう） 未来永劫（みらいえいごう）
栄諧伉儷,えいかいこうれい,栄えて仲のよい円満な夫婦のこと。 「栄諧」は栄えて仲のよいこと。 「伉儷」は夫婦のこと。 妻を娶る人への祝いの言葉として使われる。,,,１,
応機接物,おうきせつもつ,相手に応じて、適切なやり方で教育、指導すること。 仏教の言葉で、「機に応じ物に接す」とも読む。,,,５,因機説法（いんきせっぽう） 因病下薬（いんぺいかやく） 応病与薬（おうびょうよやく） 善巧方便（ぜんぎょうほうべん） 対症下薬（たいしょうかやく）
応急措置,おうきゅうそち,その場をしのぐために行う仮の処置のこと。 「応急」は急場しのぎ。 「措置」はうまく取り計らって処理すること。,,,３,応急処置（おうきゅうしょち） 緊急措置（きんきゅうそち）
解衣推食,かいいすいしょく,人に恩を施すことや人を重用すること。 「解衣」は着ている衣を解き与えること。 「推食」は自分の食べ物を推して食べさせること。 「衣を解き、食を推す」とも読む。,,『史記』「淮陰侯伝」,５,
改過自新,かいかじしん,自分の過ちを認め改めて、心をいれかえ再出発すること。 「改過」は自分の過ちを改めること。 「自新」は気分を新しくすること。 「過ちを改め自ら新たにす」とも読む。,,,５,飲灰洗胃（いんかいせんい） 改過作新（かいかさくしん） 悔過自新（かいかじしん） 回心転意（かいしんてんい） 呑刀刮腸（どんとうかっちょう）
蓋棺事定,がいかんじてい,その人の生前の評価はあてにならず、死後になってはじめて定まること。 「蓋棺」は遺体を入れる棺の蓋を閉めるということから、死ぬことをいう。 「棺を蓋いて事定まる」とも読む。,,"『晋書』「劉毅伝」,杜甫",２,
開巻有益,かいかんゆうえき,読書は得るものがあり、ためになるということ。 「開巻」は書物を開くという意味。 「巻を開けば益有り」とも読む。,,,５,開巻有得（かいかんゆうとく）
会稽之恥,かいけいのはじ,戦いに敗れ受けた恥辱。または、人から受けた忘れることが出来ない屈辱。 「会稽」は中国の山の名前で、春秋時代の呉と越の戦場跡。,,『史記』「越世家」,準１,
改弦易轍,かいげんえきてつ,法律や制度を変えること。 「改弦」は弦楽器の弦を張りかえて調子を改めること。 「易轍」は車輪の軸幅を変えること。 「弦を改め轍を易う」とも読む。 「改絃易轍」とも書く。,改絃易轍（かいげんえきてつ）,『晋書』「江統伝」,準１,改弦更張（かいげんこうちょう） 改轍易途（かいてつえきと）
気韻生動,きいんせいどう,絵画や書画などの芸術作品に、生き生きとした気品や高貴な風格が感じられること。 「気韻」は気品、風格のある味わい。 「生動」は芸術品が生き生きとしていて動き出しそうに見えること。,,『輟耕録』陶宗儀「叙画」,準２,
気宇壮大,きうそうだい,心構えや発想などが並はずれて大きく立派なこと。 「気宇」は心の広さ、心構え。 「壮大」は大きくて立派という意味。,,,準２,気宇軒昂（きうけんこう） 気宇広大（きうこうだい） 気宇雄豪（きうゆうごう） 幕天席地（ばくてんせきち）
帰依三宝,きえさんぽう,仏門に入り、仏教徒になること。 「帰依」は仏の教えに従い、信じること。 「三宝」は仏と仏の教え、それを布教する僧のこと。 「三宝に帰依す」とも読む。,,,,帰命頂礼（きみょうちょうらい） 南無三宝（なむさんぼう）
気炎万丈,きえんばんじょう,燃え上がる炎のように、他を圧倒するほどの意気込みのこと。 「気炎」は燃え上がる炎のように盛んな意気込み。 「万丈」は非常に高いことで「丈」は長さの単位。,,,３,
空空寂寂,くうくうじゃくじゃく,この世の形の有るもの無いもの全ては実体や本性が空で、思惟分別を超えているということ。 または、何も無く静かな様子。 または、無関心や、煩悩のない無心な状態。,空々寂々（くうくうじゃくじゃく）,,４,
空空漠漠,くうくうばくばく,広くて果てしない様子。またはぼんやりとしている状態。,空々漠々（くうくうばくばく）,,準２,
空前絶後,くうぜんぜつご,今までに例がなく、これからも起こることがないような珍しいこと。 「空前」は今までに起きたことがない。 「絶後」はこれからも起こることはありえないという意味。,,『宣和画譜』「二」,５,冠前絶後（かんぜんぜつご） 曠前空後（こうぜんくうご） 曠前絶後（こうぜんぜつご） 前代未聞（ぜんだいみもん）
偶像崇拝,ぐうぞうすうはい,神以外の人や像などを信仰し拝むこと。または、絶対的なものとして批判することなく崇拝すること。,,,準２,
経緯万端,けいいばんたん,物事が入り組んでいて、解決策の糸口がつかめないこと。 「経緯」は縦糸と横糸のこと。 「万端」はたくさんの糸口のことで、多くの糸が絡まり糸口を見つけられないという意味。,,『史記』「礼書」,,経緯万方（けいいばんぽう）
鯨飲馬食,げいいんばしょく,一度の食事で非常に多くのものを食べたり飲んだりすること。 「鯨飲」は鯨のように多量に飲むこと。 「馬食」は馬のように多量に食べること。,,『史記』「范雎伝」,３,牛飲馬食（ぎゅういんばしょく） 痛飲大食（つういんたいしょく） 暴飲暴食（ぼういんぼうしょく）
形影一如,けいえいいちにょ,仲が良い夫婦のこと。 または、心の善悪が行動に出ること。 体と影は離すことが出来ないように深く結びついた関係ということから。,,,準２,形影相随（けいえいそうずい） 形影相同（けいえいそうどう） 形影相伴（けいえいそうはん）
形影相弔,けいえいそうちょう,誰かが来ることもなく、一人で寂しい様子。 「形影」は形と影。 「弔」はあわれむこと。 自分と自分の影で慰め合うことから孤独の意。 「形影相弔う」とも読む。,,『文選』李密「陳情表」,準２,形影相親（けいえいそうしん）
形影相同,けいえいそうどう,心の善悪が行動に出ること。 「形影」は形と影。 形が曲がれば影も曲がり、形がまっすぐであれば影もまっすぐであるように、心が正しければ行いも正しいということ。,,『列子』「説符」,４,形影一如（けいえいいちにょ） 形影相随（けいえいそうずい） 形影相伴（けいえいそうはん）
挙一明三,こいちみょうさん,理解力が非常にすぐれていること。 仏教の言葉で、四角の一隅を挙げれば、残りの三隅を悟るということから。 「一を挙げて三を明らかにす」とも読む。,,『碧巌録』,準１,挙一反三（きょいちはんさん）
強悪非道,ごうあくひどう,人の道理をはずれるほど、計り知れないほど悪いこと。,,,,悪逆非道（あくぎゃくひどう） 悪逆無道（あくぎゃくむどう） 極悪非道（ごくあくひどう） 大逆無道（たいぎゃくむどう） 暴虐非道（ぼうぎゃくひどう）
香囲粉陣,こういふんじん,容姿の美しい人に囲まれるということ。 香りに囲まれて白粉（おしろい）が行列するという意味から。,,,４,
光陰如箭,こういんじょぜん,月日が過ぎるのは速いということ。 「光陰」は太陽と月、昼や夜や月日などの時間のこと。 「箭」は弓矢の矢のこと。 時間は矢のように過ぎ去ってしまうという意味。 「光陰箭の如し」とも読む。,,『禅門諸祖偈頌』,準１,烏兎匆匆（うとそうそう） 光陰流水（こういんりゅうすい） 歳月不待（さいげつふたい） 兎走烏飛（とそううひ） 露往霜来（ろおうそうらい）
塞翁失馬,さいおうしつば,人の幸と不幸はその時々で変わるので幸不幸は予測できないという意味。 「塞翁」は砦の老人という意味。,,『淮南子』「人間訓」,２,禍福倚伏（かふくいふく） 塞翁之馬（さいおうのうま）
塞翁之馬,さいおうのうま,人の幸と不幸はその時々で変わるので幸不幸は予測できないという意味。 「塞翁」は砦の老人という意味。,,『淮南子』「人間訓」,,禍福倚伏（かふくいふく） 塞翁失馬（さいおうしつば）
採菓汲水,さいかきっすい,仏に供えるために木の実を採ったり水を汲むなど、仏道修行に努めること。 「菓」は木の実のこと。,,『法華経』「提婆達多品」,準１,
歳寒三友,さいかん（の）さんゆう,冬に友とすべきもので東洋画の画題としても好まれる松、竹、梅のこと。 「歳寒」は寒い季節、冬のことから乱世や逆境ともいう。 乱世に友とすべき山水・松竹・琴酒のことをいう場合もある。,歳寒三友（さいかんのさんゆう）,,４,雪中四友（せっちゅうのしゆう）
思案投首,しあんなげくび,よい案が浮かばずに悩み、首を傾けている様子。 「思案」はいろいろと考えること。 「投首」は首を傾げている様子。,,,５,
詩歌管弦,しいかかんげん,漢詩や和歌を吟じたり、音楽をかなでたりすること。 または、文学や音楽のこと。 「詩歌」は漢詩と和歌などの韻文のこと。 「管弦」は管楽器、弦楽器のことで音楽のこと。,,,準２,詩歌弦管（しいかげんかん）
侈衣美食,しいびしょく,ぜいたくな衣服においしい食事などのぜいたくなことのたとえ。 「侈」はぜいたくという意味で、「侈衣」はぜいたくな衣服のこと。,,『呂子春秋』「精通」,１,玉杯象箸（ぎょくはいぞうちょ） 錦衣玉食（きんいぎょくしょく） 飽食煖衣（ほうしょくだんい）
子為父隠,しいふいん,悪事や過ちは、父は子のために、子は父のために互いに隠してかばいあうことが人の道であるということ。,,『論語』「子路」,４,父為子隠（ふいしいん）
随感随筆,ずいかんずいひつ,感じることをそのまま文章を書くこと。またはその文章。 「随感」は感じることをそのままにということ。 「随筆」は筆のむくままにという意味。,,,３,
随機応変,ずいきおうへん,状況の変化に応じて対処する方法を適切にかえること。 「応変」は変化に応じて対処すること。,,,３,当機立断（とうきりつだん） 量体裁衣（りょうたいさいい） 臨機応変（りんきおうへん） 臨機制変（りんきせいへん）
井蛙之見,せいあのけん,広い世間を知らず、自分だけの狭い見識にとらわれていること。井の中の蛙大海を知らずと同じ意味。,,,,夏虫疑氷（かちゅうぎひょう） 管窺蠡測（かんきれいそく） 区聞陬見（くぶんすうけん） 井底之蛙（せいていのあ） 夜郎自大（やろうじだい）
晴雲秋月,せいうんしゅうげつ,純真で汚れがなく透き通っている心のたとえ。 「晴雲」は晴れた空に浮かんでいる雲のこと。 「秋月」は秋の澄んでいる空にある月のこと。,,『宗史』「文同伝」,５,虚心坦懐（きょしんたんかい） 光風霽月（こうふうせいげつ） 明鏡止水（めいきょうしすい）
青雲之志,せいうんのこころざし,立身出世するために功名を得ようとする心。または、立派な人物になるために徳を磨こうとする志。 「青雲」は雲の上にある青空のことで、高位や高官、学問や道徳を修めた立派な人物という意味。,,王勃「滕王閣序」,準１,鴻鵠之志（こうこくのこころざし） 凌雲之志（りょううんのこころざし） 凌霄之志（りょうしょうのこころざし）
青雲之士,せいうんのし,高い地位に上り高位高官になった人。または世に名前が知れ渡っている人物。 「青雲」は雲の上にある青空のことで、高位や高官、学問や道徳を修めた立派な人物という意味。,,『史記』「伯夷」,,
粗衣粗食,そいそしょく,貧しい暮らしや質素な生活という意味。 「粗衣」は粗末な衣服のこと。 「粗食」は粗末な食事のこと。,,,３,悪衣悪食（あくいあくしょく） 一汁一菜（いちじゅういっさい） 節衣縮食（せついしゅくしょく） 甑塵釜魚（そうじんふぎょ）
創意工夫,そういくふう,今までにない新しいことを考え出し、そのためにさまざまな手段、方法をためすこと。 「創意」は今までになかった新しい発想。 「工夫」は実行するためにさまざまな手段、方法をためすこと。,,,４,意匠惨澹（いしょうさんたん）
草偃風従,そうえんふうじゅう,君主の徳によって自然と民衆が従うこと。 「草偃」は草がなびくことで、風が吹けばそれに従い草がなびくという意味。,,『論語』「顔淵」,１,君子徳風（くんしとくふう） 時雨之化（じうのか） 垂拱之化（すいきょうのか）
大安吉日,たいあんきちじつ（だいあんきちにち）,物事を行うのに最も縁起がよいとされる日。 「大安」は陰陽道の六輝の一つ。,大安吉日（だいあんきちにち）,,３,吉日良辰（きちじつりょうしん） 黄道吉日（こうどうきちにち）
大隠朝市,たいいんちょうし,悟りを開いた真の隠者は、山中ではなく人の多い街中で生活しているという意味。 「大隠」は本当に悟りを開いた隠者のこと。 「朝市」は朝廷と市場のことで、人が多く集まる場所。,,,４,市中閑居（しちゅうかんきょ）
太液芙蓉,たいえきのふよう,美人の顔のたとえ。 「太液」は漢代には未央宮の北にあった池の名前のこと。 「芙蓉」は蓮の花のこと。,,白居易「長恨歌」,準１,一顧傾城（いっこけいせい） 傾国美女（けいこくのびじょ） 仙姿玉質（せんしぎょくしつ） 国色天香（こくしょくてんこう） 曼理皓歯（まんりこうし）
大快人心,たいかいじんしん,人々を痛快な気持ちにさせること。 悪人を厳しく罰したときなどに用いられることが多い。,,,５,痛快無比（つうかいむひ）
徴羽之操,ちうのそう,「徴羽」は中国の五音の中の二つのことで、二つの音を操ることから正しい音楽のこと。,,『淮南子』「説林訓」,準１,
知己朋友,ちきほうゆう,互いのことをよく理解している友人。親密な関係の人。親友。 「知己」は自分の心をよく知っているという意味から親友のこと。 「朋友」は友人や友達のこと。 「朋友知己」ともいう。,朋友知己（ほうゆうちき）,『史記』「刺客伝」,準１,
池魚故淵,ちぎょこえん,池の魚は生まれた池を懐かしく思うということから、故郷を懐かしく思うこと。,,陶潜「帰園田居」,,羈鳥旧林（きちょうきゅうりん）
追根究底,ついこんきゅうてい,本質まで徹底的に追求、究明すること。,,,,追根究帯（ついこんきゅうたい） 追根尋底（ついこんじんてい） 追根問底（ついこんもんてい）
追奔逐北,ついほんちくほく,走って逃げる賊などを追いかけるという意味。 「追」と「逐」は追いかけるという意味。「奔」と「北」は走って逃げるという意味。,,『文選』李陵「答蘇武書」,準２,
通暁暢達,つうぎょうちょうたつ,ある事柄について詳しく知り抜いていて、文章や言葉がのびやかで行き届いていること。 「通暁」は物事に詳しく通じていること。 「暢達」はのびのびとしている様子。,,,準１,
通功易事,つうこうえきじ,仕事を分担して、各人が作ったものを交換して生産性をあげること。 「通」と「易」は交換するという意味。 「功」と「事」は品物や製品のこと。,,『孟子』「滕文公・下」,,
鄭衛桑間,ていえいそうかん,国を滅亡に導くほどの下品で淫靡な音楽のこと。 「鄭」と「衛」は春秋時代の中国の国の名前で、両国の音楽はみだらなものであったとされている。 「桑間」は衛の地名のことで、殷の紂王の作った淫靡な音楽のことでもある。,,『礼記』「楽記」,準１,桑間濮上（そうかんぼくじょう） 鄭衛之音（ていえいのおん） 濮上之音（ぼくじょうのおん）
鄭衛之音,ていえいのおん,国を滅亡に導くほどの下品で淫靡な音楽のこと。 「鄭」と「衛」は春秋時代の中国の国の名前で、両国の音楽はみだらなものであったとされている。,,『礼記』「楽記」,準１,桑間濮上（そうかんぼくじょう） 鄭衛桑間（ていえいそうかん） 濮上之音（ぼくじょうのおん）
低回顧望,ていかいこぼう,何かに心を引かれるなどして、行ったり戻ったり振り返ったりすること。 「低回」は考え事をしつつ、ゆっくりと歩き回ること。 「顧望」は振り返って見ること。,,『日本外史』新田氏前記」,３,
当意即妙,とういそくみょう,機転をきかせて、その場で適切に対応すること。 「当意」は工夫して適切な対応をすること。 「即妙」はすぐに思いつくことで、機転のこと。,,,４,
蕩佚簡易,とういつかんい,のんびりとしていて自由なこと。また、細かいことにこだわらず寛大なこと。 「蕩佚」はのんびりと自由で寛大なこと。 「簡易」は細かいことにこだわらず、おだやかでさっぱりしていること。,,『後漢書』「班超伝」,１,
桃園結義,とうえんけつぎ,後漢末期に、張飛の家の庭にある桃園で「劉備」「関羽」「張飛」の三人が義兄弟の約束を交わした逸話から、義兄弟の契りを結ぶこと。,,『三国志演義』一,４,桃園之契（とうえんのちぎり）
凍解氷釈,とうかいひょうしゃく,氷が解けるように疑問や問題などが解決すること。 「解」と「釈」はどちらも氷が解けるという意味。,,朱熹「中和旧説序」,３,
内剛外柔,ないごうがいじゅう,外見は穏やかでやさしそうに見えるが、心の中には何事にも左右されない強い意志や信念をもっていること。 「柔」は優しいやこと。穏やかなこと。 「剛」は心が強いこと。 「外柔内剛」ともいう。,外柔内剛（がいじゅうないごう）,『新唐書』「盧坦伝」,準２,
内柔外剛,ないじゅうがいごう,心の中はやさしくおだやかだが、外見は強そうに見えること。 「柔」はやわらかくて弱いという意味。 「剛」はかたくて強いという意味。 「外剛内柔」ともいう。,外剛内柔（がいごうないじゅう）,『易経』,準２,
内助之功,ないじょのこう,家庭内で夫の働きを支える妻の功績のこと。 「内助」は内側で助けるという意味。,,,,
内清外濁,ないせいがいだく,心は清潔さを保ちながら、外見は汚れたように装い、世俗とうまく付き合う処世術のこと。,,,４,桃園之契（とうえんのちぎり）
内政干渉,ないせいかんしょう,ある国の政治や外交などの問題に他国が口を出すこと。 「干渉」は他人の領域に勝手に介入すること。,,,準２,
二河白道,にがびゃくどう,仏教での極楽往生へ至るための道のこと。 「二河」は怒りを示す火の河と貪欲を示す水の河のこと。 二つの河に挟まれた極楽の彼岸に到達する白い道のことで、両側から火と水が迫り、後ろからも追っ手が迫っている中で一心にその道を進むと、ついには極楽浄土へたどり着いたことから、煩悩にまみれた人でも念仏一筋につとめれば悟りの彼岸にいたることを説いたもの。,,『観経散善義』,準２,
肉食妻帯,にくじきさいたい（にくしょくさいたい）,明治以前に浄土真宗以外で禁じられていた、僧侶が肉を食べ、妻を持つこと。,肉食妻帯（にくしょくさいたい）,,準２,
熱願冷諦,ねつがんれいてい,熱意をもって真剣に願うことと、冷静になって本質を見きわめること。,,,２,
年功序列,ねんこうじょれつ,年齢や勤続年数が増すに応じて、給料や地位が上がる制度のこと。 「年功」は長年にわたる経験や功績のこと。 「序列」は順序に従って並べること。,,,,年功加俸（ねんこうかほう）
能鷹隠爪,のうよういんそう,すぐれた人は人前で無闇に能力を誇示しないということ。 「能鷹」は才能のある鷹のことで才能のある人のたとえ。 「隠爪」は爪を隠すことでやたらと力量を誇示しない態度のこと。,,,準１,自己韜晦（じことうかい） 大智如愚（だいちじょぐ） 韜光晦迹（とうこうかいせき） 被褐懐玉（ひかつかいぎょく）
喉元思案,のどもとじあん,軽率な考えという意味。 「喉元」は喉のあたり。 「思案」は考えのこと。 思考を重ねて胸の辺りでじっくり考えたのではなく、胸よりも浅い喉のあたりで思いついた考えということから。 「咽元思案」とも書く。,咽元思案（のどもとじあん）,,,短慮軽率（たんりょけいそつ） 軽佻佞巧（けいちょうねいこう） 軽佻浮華（けいちょうふか） 軽佻浮薄（けいちょうふはく） 鼻元思案（はなもとじあん）
吠影吠声,はいえいはいせい,一人が根拠のないうそのようなことでも言い始めると、周りが同調して本当のことのように広めること。,,『潜夫論』「賢難」,準１,党同伐異（とうどうばつい） 附和雷同（ふわらいどう） 矮子看戯（わいしかんぎ）
稗官野史,はいかんやし,民間に伝わる物語や言い伝え、うわさなどを歴史風に書いたもの。,,『児女英雄伝』,準１,稗官小説（はいかんしょうせつ）
敗軍之将,はいぐんのしょう,戦いに負けた大将のこと。また、失敗したものは言い訳する資格はないということ。,,『史記』「淮陰侯伝」,準１,
美意延年,びいえんねん,心配事もなく楽しい心のまま生きれば、自然と長生きできるという意味。 「美」は楽しむ、「意」は心のことで、「延年」は長生きすること。,,『荀子』「致士」,５,
皮開肉綻,ひかいにくたん,特に拷問や刑罰を受けた結果に使われ、皮膚が破れ開いて、肉が裂けるという意味から、酷い怪我の様子。,,『胡蝶夢』,,稗官小説（はいかんしょうせつ）
被害妄想,ひがいもうそう,主に精神疾患にみられる症状で、特に根拠もないのに、他者から危害を受けていると思い込むこと。 「妄想」は間違ったことを根拠もなく信じること。,,,準２,
名存実亡,めいそんじつぼう,名前としては存在しているが、実体が失われていること。 内容や意義が無くなり、名前や見た目だけになること。 「名存し実亡ぶ」とも読む。,,韓愈「処州孔子廟碑」,５,有名無実（ゆうめいむじつ） 羊質虎皮（ようしつこひ） 羊頭狗肉（ようとうくにく）
明哲保身,めいてつほしん,聡明ですぐれた人は危険なことをうまく避けて自身の身を守ること。 または、地位を守るために状況に合わせて対処すること。 「明哲」は理解力や判断力がすぐれていて賢いこと。 「保身」は身を守ること。 また「保身」が曲解されて「他のことを考えずに自分の地位だけを守ろうとする」などのこずるい処世術のことをいう場合もある。,,『詩経』「大雅・烝民」,３,明哲防身（めいてつぼうしん）
迷頭認影,めいとうにんえい,本当に大切なことを見失ってしまい、その影にあたる大して関係のないものを探し続けること。 または、仏教で仏道を身につけることを怠って、経典の語句の解釈にこだわり続けること。 「頭を迷いて影を認む」とも読む。,,『首楞厳経』,,尋言逐語（じんごんちくご） 尋章摘句（じんしょうてきく） 滞言滞句（たいげんたいく）
毛骨悚然,もうこつしょうぜん,激しい恐怖を感じて震え上がること。 「悚然」は恐怖で立ち竦むこと。 髪の毛から骨の中まで恐怖を感じるという意味から。,,,１,毛髪悚然（もうはつしょうぜん）
孟母三遷,もうぼさんせん,子どもは周りの影響を受けやすいので、子どもの教育には環境を整えることが大事であるということ。 「孟母」は孟子の母親。 「三遷」は三度転居すること。 孟子の母親は、孟子への悪い影響を避けるため墓地の近くから市場の近くに引っ越し、さらに学校に近くに引っ越した。 その結果、孟子は勉学に励み偉大な儒者になったという故事から。,,『列女伝』「鄒孟軻母」,準１,孟母三居（もうぼさんきょ）
孟母断機,もうぼだんき,物事を途中でやめてしまったり、諦めてしまってはいけないという戒めの言葉。おもに学問のことを指す。 「孟母」は孟子の母親のこと。 「断機」は織りかけている機の糸を途中で切ること。 孟子が学問を投げ出そうとしたときに、孟子の母親は織り途中の機の糸を切断して「学問を途中でやめることは、この織物と同じようなものだ」と言って戒めたという故事から。,,『列女伝』「鄒孟軻母」,準１,軻親断機（かしんだんき） 断機之戒（だんきのいましめ）
網目不疎,もうもくふそ,法が細かいところまで厳しく定められていて抜け道がないこと。 「網目」は法の網の目のこと。 「疎」はあらいや大雑把ということ。 法の網の目があらくないという意味の言葉。,,『世説新語』「言語｣,,
目指気使,もくしきし,言葉を使うことなく目配せや顔つきだけで目下の者を酷使すること。 前漢の貢禹が「卑しい行いをしている者の家が富み栄えていると、目下の者を目配せや顔つきだけでこき使い、それをすぐれたことだとしている」と元帝に上奏したという故事から。,,『漢書』「貢禹」,５,
目食耳視,もくしょくじし,衣食の本質を忘れて、見た目の贅沢さだけを求めること。 「目食」は味を気にせずに見た目が豪華なものを食べること。 「耳視」は評判を気にして、たとえ似合わなくても高価な衣服を選ぶこと。 「耳視目食」ともいう。,耳視目食（じしもくしょく）,,４,
父為子隠,ふいしいん,悪事や過ちは、父は子のために、子は父のために互いに隠してかばいあうことが人の道であるということ。,,『論語』「子路」,,子為父隠（しいふいん）
目挑心招,もくちょうしんしょう,遊女が客を流し目で誘惑する様子のこと。 「目挑」は流し目で誘うこと、「心招」は心の中で誘い招くこと。,,『史記』「貨殖伝」,準２,
沐浴抒溷,もくよくじょこん,神仏へのお祈りや神聖な儀式の前に飲食や行動を慎み、水で髪や体を洗い心身を清めること。 「沐浴」は水で髪や体などを洗って身を清めること。 「抒溷」はけがれを取り除くこと。,,,１,斎戒沐浴（さいかいもくよく） 精進潔斎（しょうじんけっさい）
百舌勘定,もずかんじょう,支払いをするときに口先でうまくごまかして、他人にお金を払わせて自分は支払わないこと。 または自分が得するようにすること。 百舌と鳩（はと）と鴫（しぎ）が十五文の買い物をしたとき、百舌は鳩と鴫をうまくごまかして、鳩に八文、鴫に七文を支払わせて自分は一文も支払わなくていいようにしたという昔話から。,,,準１,
斎戒沐浴,さいかいもくよく,神仏へのお祈りや神聖な儀式の前に飲食や行動を慎み、水で髪や体を洗い心身を清めること。 「斎戒」は飲食を断つなどの戒を守り、心を清めること 「沐浴」は水で髪や体などを洗って身を清めること。 「沐浴斎戒」ともいう。,沐浴斎戒（もくよくさいかい）,『孟子』「離婁・下」,１,精進潔斎（しょうじんけっさい） 沐浴抒溷（もくよくじょこん）
