word,reading,example,,,level,meaning
渦中,かちゅう,「この先は、ヒトの想像を遥かに絶する超狂気のかちゅう、無明の大海。神々が嘲笑う禁忌の宇宙」,,,Pre-2,"vortex, maelstrom, whirlpool"
杉浦,すぎうら,なに？    すぎうら先輩は テレ屋さんだから,,,Pre-2,(name)
津々浦々,つつうらうら,１年近くそなたが未来の技術で作ったという 完成形変体刀を追って 日本国中をつつうらうらまで旅をし たいていのことは経験したつもりだったが最後にその作り手に会うことになったという この展開は考えてみればひどく順当で 平凡とさえ言える 仙人にだって会ったのだ 幽霊にだって会えるだろう つまらぬ展開だ,,,Pre-2,"all over the country, throughout the land"
免疫,めんえき,フン　毒殺など恐れんぞ 毒なんぞとうにめんえきになっているさ,,,Pre-2,"immunity, immunization, immunisation,  being hardened (to)"
疫病,えきびょう,東方でえきびょうが？ ああ、薬が飛ぶように売れるらしいぞ,,,Pre-2,"epidemic, plague, pestilence"
拝謁,はいえつ,俺の前に卿がはいえつした時に肩口から その色の髪が落ちたのを エミールが見つけたのだそうだ,,,Pre-2,having an audience with someone of very high social standing (e.g. the emperor)
謁見,えっけん,カイザーにえっけんがかなったビッテンフェルトは自分の罪を謝した,,,Pre-2,"audience (with a superior, e.g. nobility)"
猿,さる,山でさるの親子を見ました。,,,Pre-2,monkey
類人猿,るいじんえん,「これが、か。　なるほどな。確かに、るいじんえんの産物にしては上等だ」,,,Pre-2,"anthropoid ape, anthropoid, ape,"
凹む,へこむ,少しへこんでるけど　大丈夫そうだ,,,Pre-2,"to be dented, to be indented, to yield, to give"
凹凸,おうとつ,「アスファルトで舗装されている。　……最新の技術だな。おうとつが少ない」,,,Pre-2,"unevenness, bumpiness, roughness"
凸凹,でこぼこ,「……うまい感じに地面のでこぼこで隠れちゃってるし。少し離れたらもう見えないよ。　こんなの誰も知らなかったんじゃない？」,,,Pre-2,"unevenness, roughness, ruggedness, bumpiness"
翁,おきな,「主がどのように口舌を垂れ、儂どもの耳を楽しませてくれようとも……　 このおきな、いま幾人の敵から狙われているか、うっかり忘れるほど呆けてはおりませぬでな」,,,Pre-2,"old man, venerable gentleman,"
翁,おう,「これは永倉おう。　昼なら先程、充分に」,,,Pre-2,"old man, venerable gentleman,  venerable"
多寡,たか,財産のたかで個人の価値を秤量するのが一つ。,,,Pre-2,"degree (of something), greatness or smallness (of something), quantity"
寡聞,かぶん,儂は五百年生きておるが そんな人間　かぶんにして知らんぞ,,,Pre-2,"having little knowledge (of), being ill-informed,"
戦禍,せんか,せんかの中から 沖縄県民は立ち上がりましたが せん争が終わって２年間 自分の故郷に戻ることができず  ずっと収容所暮らしをしていました,,,Pre-2,"war damages, ravages of war,"
禍福,かふく,「かふくは糾える縄。　無論、幸福ばかりを運ぶわけではない」,,,Pre-2,"fortune and misfortune, prosperity and adversity, good and evil"
禍を転じて福となす,わざわいをてんじてふくとなす,しかしそれはすべてが終結してからであり、 現在心せねばならないことはミスの拡大再生産を防止し、 わざわいを転じて福となすべく工夫することだ。,,,Pre-2,"to turn misfortune into fortune (esp. through one's own efforts), to turn the potential disaster to one's advantage,"
稼ぐ,かせぐ,「操舵手の身柄を押さえ、針路を変えさせる事ができれば時間かせぎになる筈だ」,,,Pre-2,"to earn (income), to make (money),  to score (points, victory)"
稼働,かどう,「最終調整のために電話レンジをかどうさせる」,,,Pre-2,"operation (of machine), operating, running, working,"
蚊,か,かに足を刺された。,,,Pre-2,mosquito
懐,ふところ,これが輻射波動　ふところに入ったときに　私の勝ちは決まっていたの,,,Pre-2,"bosom, bust,  (breast) pocket, purse"
懐かしい,なつかしい,ここは私にとってなつかしい場所です。,,,Pre-2,"dear (old), fondly-remembered, beloved, missed"
懐柔,かいじゅう,かいじゅうしようったって その手には乗らないから 強情だな,,,Pre-2,"winning over, placation"
懐疑,かいぎ,「かいぎの迷路は、歩く事すら許さない……」,,,Pre-2,"doubt, skepticism, scepticism"
拐かす,かどわかす,「幸せに暮らす少女をかどわかし、アウトローへと　貶めた罪は死をもって償うしかない」,,,Pre-2,to kidnap
誘拐,ゆうかい,（ゆうかい……されたんだっけ？　星さんは狂言とか言ってたけど、やっぱり本物？）,,,Pre-2,"abduction, kidnapping, kidnaping,"
弾劾,だんがい,ロイエンタールの側とすれば ラインハルト自身に特に失政がない以上 君側の奸をだんがいするのは反逆者としては当然の論法であった,,,Pre-2,"impeachment denunciation, accusation, censure"
生涯,しょうがい,「むしろ、しょうがいの恥としておった。　味方を撃つがごときを、将軍に勧めた事を」,,,Pre-2,"life, lifetime, career,  for life, all one's life, throughout one's life"
垣根,かきね,彼の家には高いかきねがある,,,Pre-2,"hedge, fence,"
石垣,いしがき,そうさ。お宮のいしがきや、コンクリートの道で、みがいたんだものな。,,,Pre-2,stone wall
威嚇,いかく,敵艦隊前進してきます 閣下 慌てんでいい あれはいかくだ つられて動いてはいかん,,,Pre-2,"threat, intimidation, menace,"
核,かく,かく戦争は絶対に防ぐべきよ。,,,Pre-2,"stone (of a fruit), pit, pip,  core (of an organization, team, etc.), nucleus, heart"
結核,けっかく,昔はけっかくでたくさんの人が亡くなった。,,,Pre-2,"tuberculosis, tubercule,"
殻,から,なぜこいつはこんな悠長にからにこもってられるんだ!?,,,Pre-2,"shell, husk, hull, pod, chaff,"
外殻,がいかく,司令官パストーレ中将の肉体は、艦橋部が敵の集中砲火をうけてがいかくに大きな亀裂が生じた瞬間、 内外の気圧差によって真空中に吸いだされていた。,,,Pre-2,"shell, crust"
干潟,ひがた,今回は千葉県のひがたへアナジャコ釣りに行ってきました,,,Pre-2,"tidal flat, tideland,"
新潟,にいがた,続いてのご意見頂きました にいがたにお住まいの w さんからです,,,Pre-2,Niigata (city)
一喝,いっかつ,「一部の乗客が騒いでいたが、私がいっかつしてやるとおとなしくなった」,,,Pre-2,"exclamation, shout"
恐喝,きょうかつ,大概は汚職をしたり 市民にきょうかつまがいにたかっていたような連中だが そういった奴らほど裏の世界にも通じているからな,,,Pre-2,"blackmail, extortion, threat (to extort money),"
括弧,かっこ,かっこの部分は省略できます。,,,Pre-2,"parentheses, brackets,"
一括,いっかつ,「なんでよ。　連絡の窓口をいくつも作ると混乱するから、ウォルフがいっかつで引き受けるって約束だったろーに」,,,Pre-2,"lumping together, summing up, bundle"
括る,くくる,材木をロープでくくった,,,Pre-2,"to tie up, to tie together, to bind, to bundle, to fasten"
渇く,かわく,どうしたの？喉がかわいているのでしょう？ ならばベロベロと舌を伸ばしてキリンのように汚らしくなめるがいいわ,,,Pre-2,"to be thirsty, to feel thirsty,  to thirst for, to crave"
枯渇,こかつ,だが時既に遅く 前線物資のこかつは抜き差しならぬ状況になりつつあった,,,Pre-2,"drying up, running dry,  running out, being exhausted"
褐色,かっしょく,かっしょくの肌に赤い目,,,Pre-2,"dark brown, colour of tanned skin"
管轄,かんかつ,かんかつの警察署で免許書を交付します,,,Pre-2,"jurisdiction, control"
直轄,ちょっかつ,奇策士って　何なのですか？ 正確には尾張幕府家鳴(やなり)将軍ちょっかつ 預かり奉るところ戦所総監督 奇策士　とがめだ,,,Pre-2,direct control
且つ,かつ,惑星ﾊｲﾈｾﾝにおけるｵｰﾍﾞﾙｼｭﾀｲﾝの草刈りについて イゼルローンが受領した情報は早くかつ豊富だった,,,Pre-2,"yet, moreover, and"
堪能,たんのう,羽川さんって あれ？ 料理の味付けに対し 拒絶的な人なの？ 素材の味をそのままたんのうしたいとか？,,,Pre-2,"proficient, skillful,  enjoying, satisfaction, satiation"
堪忍袋,かんにんぶくろ,「双一親分のかんにんぶくろの緒が切れて……私は……」,,,Pre-2,one's store of patience
堪える,たえる,「はい、何とか持ちこたえました。　ですが結界基は全損。　 二度目があったら、もう為す術がありません……！」,,,Pre-2,"to bear, to stand, to endure, to put up with"
寛ぐ,くつろぐ,マジで言ってんの？こんなとこ電気も水道もないじゃん まあ とにかく くつろぎましょうや,,,Pre-2,"to relax, to feel at home"
寛容,かんよう,かんようと多文化主義こそが この国の美徳,,,Pre-2,"tolerance, open-mindedness, forbearance, generosity"
寛大,かんだい,事件の首謀者も共謀者も必ずかんだいな処置が下るよう 私が責任を持って取り計らいます,,,Pre-2,"tolerant, generous, lenient, broad-minded, magnanimous"
患う,わずらう,スイは本家の末娘で 半年程前 光が当たると目が痛むという病をわずらった,,,Pre-2,"to be ill, to suffer from,  to have trouble doing ..., to be unable to ..."
疾患,しっかん,これらの社会上のしっかんは間断なく発生していたが、人類全体を一個の人体にたとえるなら、 それはかるい皮膚病のようなものであり、皮膚に埃が付着するのを完全には防ぎえないように、 それらを根絶するのは不可能なのであった。,,,Pre-2,"disease, ailment, illness"
患者,かんじゃ,かんじゃは眠っています。,,,Pre-2,patient
遺憾,いかん,槙島聖護(しょうご)の身柄確保については 大変 いかんな結果となりました,,,Pre-2,"regrettable, unsatisfactory, deplorable, lamentable"
棺,ひつぎ,敵の狙いは、奥にあるセイロスのひつぎね。 遺骨でも奪おうというのかしら?,,,Pre-2,"coffin, casket"
借款,しゃっかん,故に 他国の干渉は必然です 共和国へのしゃっかんから始まり 武器供与や義勇兵派兵もありうるかと,,,Pre-2,(international) loan
缶,かん,コーヒーはそのかんに入っています。,,,Pre-2,"can, tin,  canned food"
軍艦,ぐんかん,さっきの物資の話ですがね 帝国ぐんのぐんかんを一隻 調達してください 以前の戦いで鹵獲した物があるはずです,,,Pre-2,"warship, battleship"
艦隊,かんたい,そして新たに編成される 第 13 かんたいの司令官に就任してもらう  かんたい司令は中将を充てるのでは,,,Pre-2,"(naval) fleet, armada"
帰還,きかん,なお きかん後の祝賀会は一番成績の悪い中隊のおごりとする,,,Pre-2,"repatriation, return,  (electrical) feedback"
生還,せいかん,８時間後 せいかんしたシュトロハイムは次のことをスピードワゴンに語った,,,Pre-2,"returning alive, surviving,  reaching the home plate"
閑散,かんさん,今の川反（かわばた）はこんななんです かんさんとしているでしょう,,,Pre-2,"deserted (esp. store, market, town, streets), quiet, still"
閑職,かんしょく,あれをかんしょくに回して 飼い殺しにすることは可能か？,,,Pre-2,"leisurely post, do-nothing job, sinecure"
陥る,おちいる,しかし パニックにおちいった頭とは 裏腹に…彼の肉体は　合理的に働き...,,,Pre-2,to fall into (e.g. a hole) to fall into
欠陥,けっかん,業務過多であればビジネスモデルにけっかんがありますね,,,Pre-2,"defect, fault, flaw, deformity, deficiency, shortage"
陥落,かんらく,シェーンコップの電撃作戦により シャンプールは僅か３日でかんらくした,,,Pre-2,"fall, sinking, surrender, capitulation"
頑な,かたくな,スザク　あなたのかたくななところも 優しいところも 悲しそうな瞳も 不器用なところも 猫に噛まれちゃうところも全部！,,,Pre-2,"obstinate, stubborn, mulish, die-hard, bigoted"
頑丈,がんじょう,「……宿舎は外壁や天守ほどがんじょうに出来ていませんので、 柱へ強烈な頭突き等を加えるのはご遠慮下さい」,,,Pre-2,"solid, firm, stout, burly, strong, sturdy"
飢える,うえる,失礼しました 西方では 友軍が泥をすすって うえに苦しんでおりましたが ここ北方の司令部は 随分と恵まれているようでしたので つい…,,,Pre-2,"to starve, to be famished, to be hungry"
飢餓,きが,きがや戦争の真っ只中に生まれる人 それらが全て“運命” だとすれば...,,,Pre-2,"starvation, famine, hunger"
偽り,いつわり,そうか　オレの日常に棘のように突き刺さっていた苛立ち ああ　すべてがいつわりの記憶,,,Pre-2,"lie, falsehood, fiction, fabrication"
偽物,にせもの,「さあ。わたしには、腐乱した人間の手首に見えるわ。　に、にせものだといいよねー……」,,,Pre-2,"spurious article, forgery, counterfeit, imitation, sham"
偽造,ぎぞう,「だが、やはりぎぞうはよくない。ウソはウソだ」,,,Pre-2,"forgery, falsification, fabrication, counterfeiting"
真偽,しんぎ,提督　その件に関してはローエングラム公に お目にかかった時 私が直接 しんぎのほどを確認します,,,Pre-2,"truth or error, authenticity, veracity"
宜しい,よろしい,「続きをよろしいでしょうか？　デモンベインの運用に於ける魔導書―― 即ち、アル様の状態についてですが……」,,,Pre-2,"good, OK, all right, fine, very well, will do, may, can"
便宜,べんぎ,じゃあ べんぎ的に そいつのことは “初代怪異殺し”とでも呼んでおくか,,,Pre-2,"convenience, accommodation, advantage, benefit, expediency"
模擬,もぎ,"ちなみに今回のもぎ戦は前哨戦に過ぎない 本番は飛竜の節の行われる""鷲獅子戦""だ",,,Pre-2,"imitation, sham, mock,  simulation"
擬態,ぎたい,ほお お出ましか 我々の敗走がぎたいだと気付かなかったようだな,,,Pre-2,"mimesis, mimicry, camouflage"
擬き,もどき,ぎ死という生体反応がある 偽の死ではなく もどきの死と書いてぎ死じゃ 要は死んだフリじゃな,,,Pre-2,"-like, pseudo-, mock ..., imitation ..., in the style of ...,"
窮屈,きゅうくつ,いいんじゃないですか 勘違いも たまには たった 一度の過ちも許されないというのでは人生はきゅうくつすぎます,,,Pre-2,"narrow, tight, cramped,  formal, stiff, strict, ceremonious"
困窮,こんきゅう,ん？　そんなこんきゅうした村に社を建てさせることを要求するなんぞ なんてひどい神様だ… じゃと？,,,Pre-2,"poverty, need, destitution,  having great difficulty with"
糾う,あざなう,「禍福はあざなえる縄。　無論、幸福ばかりを運ぶわけではない」,,,Pre-2,to twist (something)
紛糾,ふんきゅう,最高評議会の議論はふんきゅうした ウィンザー評議員を代表とする継戦派と 撤兵を主張するレベロ評議員との舌戦が繰り広げられた,,,Pre-2,"complication, confusion, disorder,"
糾弾,きゅうだん,イゼルローンからの逃亡者 きゅうだんされて当然だろうな ゼークト提督は 壮烈な玉砕を遂げたというのに,,,Pre-2,"censure, denunciation, (verbal) attack, blaming"
拒む,こばむ,協力をこばむような輩は貴族の風上にも置けぬから天誅を加えるべきだと言ってな  ワシは止めておるのだが どうもな もとより 流血も辞さぬ覚悟だと申してな,,,Pre-2,"to refuse, to reject, to decline,  to prevent (from doing)"
拒否,きょひ,ダメだ　処刑は許可せぬ 助命など彼の方できょひするでしょう,,,Pre-2,"refusal, rejection, denial, veto"
享受,きょうじゅ,その言葉が抑止力になる間に 束の間の平和をきょうじゅするらしい,,,Pre-2,"reception, acceptance, enjoyment, being given"
享楽,きょうらく,「人の生命を寇掠する瞬間……　きょうらくを覚えずにいられません」,,,Pre-2,"enjoyment, pleasure"
恭しい,うやうやしい,うやうやしく一礼する,,,Pre-2,"polite, respectful, reverent"
恭順,きょうじゅん,枢木スザク 彼はイレヴンのきょうじゅん派にとって 旗印になりかねません 私は暗殺を進言します,,,Pre-2,"allegiance, obedience, submission"
挟む,はさむ,そこに異論をはさむつもりはないが、一押しの予知能力は、まともに使えないはずだ。,,,Pre-2,"to hold between (e.g. one's fingers, chopsticks), to grip (from both sides)"
挟撃,きょうげき,諸君は 残存魔導師の きょうげきを開始しろ,,,Pre-2,"pincer movement, pincer attack"
矯正,きょうせい,誤った選択は正しい懲罰によってこそきょうせいされるべきである,,,Pre-2,"correction (of fault, defect, flaw, etc.), remedy, rectification"
暁,あかつき,『大渡海』完成のあかつきには私はもうこの世にはいないでしょう,,,Pre-2,"dawn, daybreak,  event (e.g. ""in the event of ..."")"
早暁,そうぎょう,宇宙歴799年 新帝国歴１年７月28日そうぎょう,,,Pre-2,"daybreak, dawn"
琴,こと,彼女はおことを習っています,,,Pre-2,koto (13-stringed Japanese zither) stringed instrument
琴線,きんせん,私も あの仮面が欲しいです 紅魔族のきんせんに激しく響きます バカか！あの仮面が本体なんだよ,,,Pre-2,heartstrings koto string
細菌,さいきん,土の中にはたくさんのさいきんがいます,,,Pre-2,"bacterium, bacteria, germ"
殺菌,さっきん,何やってんの？　こんなとこで 待ってるのよ お部屋のさっきん消毒が終わるの,,,Pre-2,"sterilization, sterilisation, disinfection"
襟,えり,えりの大きいコートを買いました。,,,Pre-2,"collar, lapel, neckband, neck,  nape of the neck"
胸襟,きょうきん,かしこまりました きょうきんを開かせていただきます 王子 かまいませんね？,,,Pre-2,one's heart
謹慎,きんしん,信賞必罰は武門のよってたつところだ オーディンに帰艦ししだい 卿の責任を問うことにする それまで自室においてきんしんせよ,,,Pre-2,"self restraint, moderating one's behaviour, penitence"
謹厳実直,きんげんじっちょく,きんげんじっちょく 元生徒会長の貴様が 卒業式をサボるとはな,,,Pre-2,sober and honest
吟味,ぎんみ,「一概に決め付けて言っているのではない。　だが、古来から続いた習慣には理由があるものだ。 それをぎんみもせず、ただ差別の一言で否定する態度は俺には認めかねる」,,,Pre-2,"close examination, careful selection, testing"
吟遊詩人,ぎんゆうしじん,「もしかしてあなたぎんゆうしじん？　背中の鞄には楽器が入っているのかしら？」,,,Pre-2,"troubadour, minstrel"
隅,すみ,部屋のすみにいすが積んであったの。,,,Pre-2,"corner, nook, recess"
一隅,いちぐう,ハイネセンポリスのいちぐうで始まった一連の混乱は収拾の見込みもつかないまま 日付だけが 翌23日に変わろうとしていた,,,Pre-2,"corner, nook"
靴,くつ,くつが汚れた。,,,Pre-2,"shoe, shoes, boots, footwear, footgear"
軍靴,ぐんか,フェザーンの黒狐め 捕まえて 生皮 剥いで ぐんかの底に貼り付けてやるぞ,,,Pre-2,"military shoes, combat boots"
勲,いさお,うっ… 男ならいさおは戦場で立てるもの,,,Pre-2,"distinguished service, meritorious service"
勲章,くんしょう,世の中は不公平だ！ 戦争で何万人 殺そうとも 都市を焼こうとも勝ちさえすれば 提督だの 元帥だのと 称号を受けて くんしょうも貰える！それがわずかの物資を横領しただけで極悪人扱いとは！,,,Pre-2,"decoration, order, medal"
叙勲,じょくん,“白銀”の二つ名 銀翼突撃章のじょくん者か,,,Pre-2,conferring of decorations
薫育,くんいく,「岡部を手本として一族をくんいくせい！　武門の盛衰など所詮は時の運。 我が六波羅の栄華もいつかは終わりを迎えよう。その折に見苦しき振舞いがあってはならぬ……」,,,Pre-2,"moral influence, moral education"
薫陶,くんとう,ふん 同盟軍め 司令官のくんとうが行き届いていると見えて 逃げるのを恥とも思わんようだ,,,Pre-2,"education, training, discipline"
弁慶,べんけい,うっ もじもじじゃないでしょ！ このメールべんけいがっ！,,,Pre-2,"strong person, person putting on a brave front,  bamboo tube with holes drilled in it (used as a stand for kitchen utensils, fans, etc.) checks, plaid"
余慶,よけい,お前さんは失敗すれば むろん罵声の嵐だが 成功したらしたで ヤンのよけいを被っただの ヤンの構想を横取りしただの 言われることだろう,,,Pre-2,"fortunate heredity, blessings, the rewards of virtue"
渓谷,けいこく,このアッシニボイヤけいこくに入植し 開拓者として残りの人生を送ろうとしていた,,,Pre-2,"valley (with a river running through it), gorge, ravine, canyon"
渓流,けいりゅう,けいりゅうに下半身をつけて ﾊﾞﾗﾝｽをとりながらのｽｸﾜｯﾄ これはこたえますよ,,,Pre-2,"mountain stream, mountain torrent"
茎,くき,チューリップはくきが長いです。,,,Pre-2,"stalk, stem"
陰茎,いんけい,「誰が君の性器にいんけいを挿入したと？」,,,Pre-2,penis
蛍,ほたる,ほたるがたくさん飛んでいます,,,Pre-2,"firefly (Luciola cruciata), lightning bug, glowworm"
蛍光灯,けいこうとう,古いけいこうとうを取り替えてください。,,,Pre-2,"fluorescent lamp, fluorescent light,  person who is slow to react"
傑作,けっさく,欠陥品!? 私の最高けっさくに欠陥品だと？ 直ちに発言を取り消したまえ！,,,Pre-2,"masterpiece, best work,  amusing blunder, funny mistake, boner"
傑出,けっしゅつ,今 その変化は ローエングラム公ラインハルトという けっしゅつした人格を借りて まず 銀河帝国を席巻し 次いで 全人類を 絡め取ろうとしているんだ,,,Pre-2,"being outstanding, excelling, being foremost"
嫌い,きらい,こういうことを白々しく言うところが、 またどうしょうもなくきらいなんだ！,,,Pre-2,"disliked, hated, disagreeable,  tendency, smack (of), touch (of),  distinction"
嫌,いや,私は待つのがいやだ。,,,Pre-2,"disagreeable, detestable, unpleasant, reluctant"
機嫌,きげん,「うわ、ひっどぉ～。なんかごきげん斜めだねぇ、わたし邪魔かな？」,,,Pre-2,"humour, humor, temper, mood, spirits,  safety, health, well-being, one's situation"
嫌悪,けんお,「って、言ってて自己けんおになりそう。私ってひどい女だ……」,,,Pre-2,"disgust, hate, repugnance, loathing"
一生懸命,いっしょうけんめい,そいつはなんと常に逆さ向きに喋るのだ それにどういう意味があるんだ 没個性にならぬよういっしょうけんめいなのだ,,,Pre-2,"very hard, with utmost effort, with all one's might, for dear life"
懸念,けねん,「ハッ。現時点では御けねんに及びませぬ。　 我が麾下の厩衆による防諜は、充分に機能しております」,,,Pre-2,"worry, fear, anxiety, concern"
懸垂,けんすい,指だけを使ったけんすい５０回をご覧に入れます,,,Pre-2,"pull-up (exercise), chin-up, chinning,  suspension, dangling"
献立,こんだて,本当に今日のこんだて1000種だわ,,,Pre-2,"menu, bill of fare,  program, programme, schedule"
貢献,こうけん,感情に流されることなくこの「怒れる能力」をいかにうまく コントロールするかが 王へのこうけん！,,,Pre-2,"contribution (furthering a goal or cause), services (to a cause)"
献身的,けんしんてき,この間知り合ったばかりの同級生に どうしてそこまでけんしんてきになれるのか分からない,,,Pre-2,devoted
謙る,へりくだる,いいのか？　私が使者で へりくだればなめられる  そういう相手だろ？　中華連邦は,,,Pre-2,"to deprecate oneself and praise the listener, to abase oneself"
謙虚,けんきょ,いつになくけんきょね 暗に主役は自分だと 主張してるんじゃない？,,,Pre-2,"modest, humble"
謙譲語,けんじょうご,（「行く」のけんじょうごは何でしょうか？） （正解は「参る」でしたーっ）,,,Pre-2,humble language (e.g. itadaku)
顕現,けんげん,「全く、久々にけんげんしたと思えばコレじゃ！　だから人間というものは……」,,,Pre-2,manifestation
顕職,けんしょく,元帥だの 宇宙艦隊司令長官だのと けんしょくに祭り上げられている間に俺も戦闘指揮の感覚が鈍ったとみえる,,,Pre-2,prominent or high post
顕著,けんちょ,ルドルフの登場は、民衆が根本的に、自主的な思考とそれにともなう責任よりも、 命令と従属とそれにともなう責任免除のほうを好むという、歴史上のけんちょな例証である。,,,Pre-2,"remarkable, striking, obvious"
管弦楽団,かんげんがくだん,クライオバ歌劇場  かんげんがくだんなどを指揮したあと １９９５年に帰国して 現在も幅広く活動しています。,,,Pre-2,orchestra
弦,つる,最近、修理に出る弓の数が多かったから、 試しにつるの素材を丈夫な物に変えたんだよ。,,,Pre-2,"bowstring string (of shamisen, guitar, violin, etc.)"
下弦の月,かげんのつき,「今日はかげんの月……」,,,Pre-2,waning moon
呉れる,くれる,私は母からも又学課だけを教えてくれる先生と云う人からも「妙な子」、 「そだてにくいお子さん」と云われて居る。,,,Pre-2,"to give, to let someone have, to be given"
呉越同舟,ごえつどうしゅう,ごえつどうしゅうとか言いますけどね ごとえつというのは非常に上下の国だったんですけども  非常に仲が悪くて敵対してた国なんですね それがたまたま川で ごの人間とえつの人間が一緒に乗って船で  いろいろ協力しちゃったって言うんでで ごえつどうしゅうという,,,Pre-2,bitter enemies (placed by fate) in the same boat
囲碁,いご,彼の趣味はいごです。,,,Pre-2,"go, board game of capturing territory"
諸侯,しょこう,しかしながら 次のことをしょこうにご承知おき願いたい こと 実戦に関するかぎり 私に全権が委ねられること,,,Pre-2,"princes, lords"
江戸,えど,囲い火蜂はえど時代に著された文献 東方乱図鑑(とうほうみだれずかん) の15段に記載されている怪異譚だ,,,Pre-2,Edo (old name of Tokyo)
江湖,こうこ,うーん 聖地に こもりきりだった護印師（ごいんし）ともなれば こうこの名声に疎いのも 無理は無いか,,,Pre-2,"the public, the world"
洪水,こうずい,こうずいでたくさんの家が流されたの。,,,Pre-2,"flood, flooding"
溝,みぞ,車がみぞにはまったの。,,,Pre-2,"ditch, drain, gutter, trench,  groove, tread"
海溝,かいこう,お前さんの冗談が水準に達していたことは一度もないが 今度のときたら かいこうの底に沈んでいるな,,,Pre-2,"ocean trench, deep"
肯んじる,がえんじる,「……にも拘わらず戦争終結をがえんじたのは、六波羅の和平提案によって連盟各国で一気に 高まった厭戦感情を抑えられなかったから。　前線及び後方の疲弊もあったでしょう」,,,Pre-2,"to consent, to allow, to accept, to agree"
肯定,こうてい,「アスタは私の行動をこうていしてくれるのか？」,,,Pre-2,affirmation affirmative (logic)
首肯,しゅこう,私としてはにわかにしゅこうはしかねるが それによって 卿は私を説得することを 試みているわけなのか？,,,Pre-2,"assent, consent"
均衡,きんこう,智勇のきんこうにおいては ラインハルトすら凌ぐといわれる名将である,,,Pre-2,"equilibrium, balance"
平衡,へいこう,「宇宙すべての熱へいこう……どちらにしても…… すべての生命が永遠に子孫を残すのは不可能……いつかその終わりを向かえる……」,,,Pre-2,"even scale, equilibrium, balance"
貢ぐ,みつぐ,神には食べ物をみつがなきゃいけないんだぞ,,,Pre-2,"to support (someone) financially, to finance"
年貢,ねんぐ,槙島 聖護を殺そうとするお前の計画に俺は意図的に加担した その自覚がある以上 次に抜き打ち検診を食らったらそれがねんぐの納め時だな,,,Pre-2,"annual tribute, land tax"
購入,こうにゅう,それが欲求不満を増進させていたんだよ だから エッチな本を新規にこうにゅうすることで その辺りの問題を解決しちゃおう！,,,Pre-2,"purchase, buy"
購買,こうばい,鈴原って いつも こうばい部のお弁当だね,,,Pre-2,"procurement, purchase, buying,  school store, co-op"
剛柔,ごうじゅう,そうであればヤン･ウェンリーとはやや色彩の異なる あるいは よりごうじゅうの均整のとれた元帥の名が 同盟軍元帥列伝に記載されることになったであろう,,,Pre-2,hardness and softness
剛強,ごうきょう,「……か、掛かれ！　怯むなたわけ！　奴がいかにごうきょうをもって鳴ろうと所詮は一騎、 押し包んで討ち取れぬはずがあろうか！」,,,Pre-2,"strength, firmness"
拷問,ごうもん,「攫ってごうもんにでもかける気か？」,,,Pre-2,torture
酷い,ひどい,この田　見ろ  ひどい冷夏で　蓄えするので手いっぱいだ,,,Pre-2,"cruel, heartless, hard, harsh, severe,  violent, intense"
残酷,ざんこく,そして２年後 君はまたあの２人と再会する ふっ 思ってもみないざんこくな形で…,,,Pre-2,"cruelty, harshness"
過酷,かこく,俺が本気で仕事に見合うだけの額を請求すれば お前が身売りをしても足りんよ どんなかこくに働いても足りん,,,Pre-2,"severe, harsh, hard, cruel, rigorous"
