word,reading,example,,,level,meaning
利己主義,りこしゅぎ,専制政治を倒すのは我々のたいぎです  それを理解しようとしない市民のりこしゅぎに迎合する必要などありません,,,5,"egoism, selfishness"
誤解,ごかい,私の気持ちをごかいしているんじゃない！,,,5,misunderstanding
誤り,あやまり,解答にあやまりが3つ有りますよ。,,,5,"error, mistake, slip, bug"
太后,たいこう,陛下の姉君のことか？  そうだ グリューネワルトたいこう妃殿下 あの方だ,,,5,"empress dowager, queen mother"
皇后,こうごう,こうごうエリザベートとのあいだに儲けた四児はすべて女児であり、 後継者たる男児をえることができなかった。,,,5,"(Japanese) empress, queen"
孝行,こうこう,あこやも出来の良い子供じゃなかったがこうこうできて満足だろう,,,5,filial piety
天皇,てんのう,てんのうは日本国の象徴です。,,,5,Emperor of Japan
口紅,くちべに,赤いくちべにを買いました。,,,5,lipstick
紅茶,こうちゃ,こうちゃにレモンを入れて飲んだ。,,,5,black tea
紅葉,こうよう,この山はこうようがとても美しい。,,,5,"autumn colours, fall colors"
鋼,はがね,純然たる契約主義者ゆ この種の契約は私の魂にまで食いこみ  過去も未来も その一点において はがねに勝る強度を持つだろう,,,5,steel
鋼鉄,こうてつ,「かよわい女の子の身体でも、この法則を使えば高層ビルから飛び降りればこうてつも砕ける」,,,5,steel
降りる,おりる,次の駅でおります。,,,5,"to descend (e.g. a mountain), to go down, to come down"
降る,ふる,激しい雨がふっています。,,,5,"to fall (of rain, snow, ash, etc.), to come down"
刻む,きざむ,玉ねぎを細かくきざんでください。,,,5,"to mince, to cut fine, to chop up"
時刻,じこく,ただ今のじこくは6じ35分です。,,,5,"instant, time, moment"
穀物,こくもつ,5000万人分の食料といえばこくもつだけでも50億トンになります  ｲｾﾞﾙﾛｰﾝの倉庫全部を空にしても穀物は７億ﾄﾝしかありません,,,5,"grain, cereal, corn"
穀倉,こくそう,今では北陸全域が人口ゼロの巨大こくそう生産基地,,,5,granary
骨,ほね,彼は足のほねを折りました。,,,5,bone
骨折,こっせつ,友人がこっせつして外科に入院しました。,,,5,bone fracture
困る,こまる,ケータイをなくしてこまっています。,,,5,"to be troubled, to have difficulty, to be in a fix"
貧困,ひんこん,私もひんこんの中に生まれたら 同じことをしていたかもしれない,,,5,"poverty, penury, need"
砂,すな,靴にすなが入ってしまった。,,,5,"sand, grit"
砂糖,さとう,コーヒーにさとうは入れますか。,,,5,sugar
座る,すわる,私は窓側の席にすわった。,,,5,"to sit, to squat"
座席,ざせき,彼は後方のざせきに着いたの。,,,5,seat
済む,すむ,父の手術が無事にすみました。,,,5,"to finish, to end, to be completed"
救済,きゅうさい,キルア様は確かに我々と共にそちらへ向かわれています。  ええ　ゴン様　きゅうさいのためです,,,5,"relief, aid, rescue, salvation, help"
経済,けいざい,大学でけいざいを勉強しました。,,,5,"economics, business, finance, economy"
裁く,さばく,おめーのスタンドは被害者自身にも法律にも見えねえし分からねえ  だから 俺がさばく,,,5,to judge
仲裁,ちゅうさい,彼がけんかのちゅうさいをしてくれました,,,5,"arbitration, intercession, mediation"
裁判,さいばん,さいばんの様子はテレビで中継されたわよ。,,,5,"trial, judgement, judgment"
政策,せいさく,新しいせいさくはあまり良いとは思えません。,,,5,"political measures, policy"
対策,たいさく,一緒にたいさくを考えましょう。,,,5,"measure, provision, step"
冊,さつ,本を１さつ買いました。,,,5,counter for books
短冊,たんざく,せめてたんざくくらいは目立つ所に…,,,5,"long, narrow card on which Japanese poems are written (vertically), strip of paper"
蚕,かいこ,山のかいこの紬糸織って 山の草や木で染めたの,,,5,silkworm (Bombyx mori)
蚕食,さんしょく,その事実は先のワーレン暗殺未遂と合わせて  帝国軍内部をさんしょくする地球教の勢力の根強さを感じさせた,,,5,"encroachment, making inroads (into)"
姿,すがた,遠くに彼女のすがたが見えた。,,,5,"figure, form, shape"
姿勢,しせい,あの子はいつもしせいが悪い。,,,5,"posture, pose, position"
私,わたし,わたしは腕時計を四つ持っています。,,,5,"I, me"
私立,しりつ,しりつの大学は学費が高い。,,,5,private (establishment)
至る,いたる,ようやく結論にいたったようね,,,5,"to arrive at (e.g. a decision), to reach"
至極,しごく,「あなたが幻想世界と呼んだ、この世界での生活は、私にとってはしごくの記憶です」,,,5,"very, extremely, exceedingly, top"
至急,しきゅう,全部隊に告げる ゲットー外縁までしきゅう後退せよ,,,5,"urgent, pressing, immediate"
視野,しや,これだから 人間はしやが狭くて困る,,,5,"field of vision, view"
近視,きんし,彼は軽いきんしです。,,,5,"myopia, shortsightedness, nearsightedness"
動詞,どうし,「食べる」はどうしです。,,,5,verb
名詞,めいし,「学校」はめいしです。,,,5,noun
雑誌,ざっし,彼女はざっしを読んでいます。,,,5,"journal, magazine, periodical"
週刊誌,しゅうかんし,そのしゅうかんしはゴシップばかりだ。,,,5,"weekly publication, weekly magazine"
磁石,じしゃく,じしゃくを付けていたな？  チッ さっきのパワー比べのときか  財布か手帳の留め金から取った じしゃくのようだが…,,,5,magnet
磁気,じき,人間の体は微量ながらじきを帯びており  生命じしゃくになっていると考えられ  オーバードライブはその生命じきをパワーアップ,,,5,magnetism
射す,さす,今日は久しぶりに日がさしてるね。,,,5,to shine
注射,ちゅうしゃ,彼はちゅうしゃがあまり好きではありません。,,,5,injection
射る,いる,しかし 千里の言葉は実に的をいたものだった,,,5,"to shoot (arrow, bolt, dart)"
捨てる,すてる,ゴミをすててください。,,,5,"to throw away, to cast away, to dump"
四捨五入,ししゃごにゅう,10 円未満はししゃごにゅうしてください,,,5,"rounding (fractions), rounding half up"
尺骨,しゃっこつ,右腕 とうこつ　しゃっこつ　完全こっせつ。,,,5,the ulna
間尺に合わない,ましゃくにあわない,それにフェザーンは我が同盟に莫大な資本を投下し  多くの権益を有している 万が一 我が同盟が帝国に併呑されるような事態に至れば 今日に至る彼らの努力は水泡に帰する そんなましゃくに合わないことを彼らがするだろうか,,,5,"does not pay, not worth (one's) while"
若い,わかい,店員はわかい女の人でした。,,,5,"young, youthful"
樹木,じゅもく,奇妙なじゅもくに巨大な実がなっている,,,5,"tree, trees and shrubs"
樹立,じゅりつ,きゃつらは｢自由惑星同盟｣を僭称する反徒どもの中に逃げ込み  不逞にも亡命政権のじゅりつを宣言した,,,5,"establishment, founding, setting (a record)"
収める,おさめる,一気に世界を この世を手中におさめてやる,,,5,"to dedicate, to make an offering, to pay (fees)"
収拾,しゅうしゅう,女王が死ねば 師団長達のかせは解けてしゅうしゅうがつかなくなるぞ,,,5,"control, bringing under control, settling (a matter)"
宗教,しゅうきょう,しゅうきょうを持たない人もたくさんいるわ。,,,5,"religion, religious affiliation, belief"
宗主国,そうしゅこく,エリア11と名付けられた植民地 日本はそうしゅこく 神聖ブリタニア帝国に対し　独立戦争を挑んだ,,,5,suzerain state
就く,つく,今年から新しい仕事につきます。,,,5,"to take (seat, position, course, office, etc.), to assume"
就職,しゅうしょく,彼はしゅうしょく試験を受けた。,,,5,"finding employment, getting a job"
就任,しゅうにん,彼は新首相にしゅうにんしましたね。,,,5,"assumption (of office), taking up (a post)"
衆議院,しゅうぎいん,来年、しゅうぎいんが解散されるだろう。,,,5,House of Representatives (lower house of the National Diet of Japan)
大衆,たいしゅう,能は元々たいしゅうの文化でした。,,,5,"general public, the masses"
従う,したがう,上司の指示にしたがった。,,,5,"to obey (an order, law, etc.), to abide by"
服従,ふくじゅう,気に入ったぞ 闇のジャック このディオにふくじゅうするのだ,,,5,"obedience, submission, resignation"
縦,たて,たて2列に並んでください。,,,5,"the vertical, height"
操縦,そうじゅう,このボートはそうじゅうが簡単です。,,,5,"steering, piloting, flying"
縮める,ちぢめる,彼はタイムを1秒ちぢめたの。,,,5,"to shorten, to reduce, to condense"
圧縮,あっしゅく,そのファイルはあっしゅくして送ってください,,,5,"compression, condensation"
縮小,しゅくしょう,これをしゅくしょうして印刷してください。,,,5,"reduction, curtailment"
熟れる,うれる,崩すのがもったいなくなるぐらい… 《ラッシュ！　ラッシュ！》 うれてから,,,5,"to ripen (fruit, grain, etc.), to become ripe"
未熟,みじゅく,お客さん こんな状況になったのは侵入できなかったみじゅくな私が悪いんです,,,5,"unripe, green inexperienced"
成熟,せいじゅく,そうだな あと10年も人格に磨きをかけて  深みとせいじゅくさを増したら 俺の対抗馬になるかもしれんな,,,5,"maturity, ripeness"
単純,たんじゅん,彼はたんじゅんな人です。,,,5,"simple, plain, uncomplicated, straightforward"
純情,じゅんじょう,「のおおぉぉぉぉ、あなたがたは揃いも揃って、なぜ男のじゅんじょうを分かってくださらないのですかっ！」,,,5,"pure heart, naivete, innocence"
処分,しょぶん,彼は免許取消しのしょぶんを受けたよ。,,,5,"disposal, throwing away, selling off"
対処,たいしょ,敵艦隊 斜線陣をとっています どうたいしょされますか,,,5,"dealing with, coping with"
署名,しょめい,お前は手紙を出すときにはしょめいを忘れないように気をつけろ,,,5,signature
消防署,しょうぼうしょ,この町にはしょうぼうしょが1つしかありません。,,,5,fire station
諸君,しょくん,しょくん このディオ・ブランドーくんは 私の命の恩人のご子息だ,,,5,"you, gentlemen"
諸国,しょこく,彼はヨーロッパしょこくを旅行した。,,,5,"various countries, various regions, various provinces"
諸々,もろもろ,「とりあえず、おまえが病室に持ち込んだもろもろは、家の方に送っといたぞ」,,,5,"all kinds of things, various things, large number of people"
除く,のぞく,部長をのぞく全員が土曜日も働いた。,,,5,"to remove, to eliminate, to eradicate"
傷,きず,手のきずが悪化した。,,,5,"wound, injury, cut"
中傷,ちゅうしょう,何のことか分からぬ 根拠のないちゅうしょうはよせ,,,5,"slander, libel, defamation, calumny, smear"
損傷,そんしょう,｢救援を感謝する　我が艦のそんしょう 甚だしく 緊急入港を要請する｣,,,5,"damage, injury"
将来,しょうらい,しょうらいはプロのカメラマンになりたいです。,,,5,"future (usually near), prospects"
将軍,しょうぐん,その後 四季崎の刀を妄信した旧しょうぐんが行った政が かの悪法　刀狩りだ,,,5,"general, shogun"
障る,さわる,「あ、ごめんね、なんか気にさわったかな？」,,,5,"to be harmful to, to hinder, to interfere with, to irritate"
故障,こしょう,冷蔵庫がこしょうしました。,,,5,"breakdown, failure, fault"
城,しろ,今回の旅行ではヨーロッパのしろを見て回ります。,,,5,castle
城内,じょうない,彼女はご機嫌取りのために嫁がされた娘でな  だが王には かわいがられずじょうないでも虐げられていた,,,5,inside of a castle
蒸す,むす,野菜は茹でるよりむしたほうがいい,,,5,"to steam (food, towel, etc.)"
蒸気,じょうき,ワムウは自分の体の周りに肺からの水じょうきの渦を纏わせているんだ,,,5,"steam, vapour, vapor"
蒸発,じょうはつ,波紋で腕をじょうはつさせられて　怒り狂うの,,,5,evaporation
針,はり,奇妙な笑い声、月夜に煌めくはり、  そして開け閉めされる貴殿の部屋の扉・・,,,5,"needle, pin"
方針,ほうしん,今後のほうしんが決まった。,,,5,"policy, course"
仁王立ち,におうだち,“気がつけば少女の前ににおうだち”,,,5,"imposing stance, daunting pose"
仁義,じんぎ,相変わらずの薄情さだな じんぎの筋目などまるで無視か,,,5,"humanity and justice (esp. in Confucianism), virtue"
垂れる,たれる,よだれたれてるし,,,5,"to hang, to droop"
垂直,すいちょく,彼らはすいちょくのがけを登り始めたの。,,,5,vertical
推す,おす,私はクラピカをおすわ。,,,5,"to recommend, to endorse"
推定,すいてい,回廊出口への到達すいてい日時は？,,,5,"presumption, assumption"
推測,すいそく,それは彼のすいそくにすぎない。,,,5,"guess, conjecture"
一寸,いっすん,フウ いっすんの蚊にも五分の魂つってね 観念して安らかに眠りましょ,,,5,"one sun (approx. 3.03 cm) little bit (of time, distance, etc.)"
寸前,すんぜん,宝珠核が融解すんぜん！,,,5,"just before, on the verge of"
盛り上がる,もりあがる,昨夜のパーティはとてももりあがったな。,,,5,"to swell, to rise, to bulge"
盛り,さかり,どうだ？ 生意気ざかりの年齢同士 話が合うと思うんだが,,,5,"height (e.g. of summer), peak"
盛大,せいだい,相変わらずせいだいですね   砲弾もタダじゃないというのに,,,5,"grand, magnificent"
神聖,しんせい,あんた しんせいなめがみ様の口から何言わせる気？,,,5,"holiness, sacredness, sanctity, dignity"
聖書,せいしょ,「これって……せいしょの一節……キリスト教系の団体だっけ？　たしか日蓮宗だった様な……」,,,5,"Bible, scriptures"
誠,まこと,まことにありがとうございます。,,,5,"truth, reality"
誠実,せいじつ,彼はとてもせいじつな人です。,,,5,"sincere, honest, faithful"
宣言,せんげん,「こッ……子作りせんげんだとォっ！？」,,,5,"declaration, proclamation, announcement"
宣伝,せんでん,その商品のせんでんをよく見かけます。,,,5,"publicity, advertisement, advertising, propaganda"
専ら,もっぱら,彼は最近はもっぱらゴルフをしています,,,5,"wholly, solely, entirely"
専門,せんもん,簔帽子をかぶったせんもんの猟師が、草をざわざわ分けてやってきました。  そこで二人はやっと安心しました。,,,5,"speciality, specialty"
専属,せんぞく,今日は　雑誌のせんぞくグラビアアイドルのオーディションだったんですが,,,5,"exclusive, attached to, specialist"
泉,いずみ,森の中にきれいないずみがあるの。,,,5,"spring, fountain"
温泉,おんせん,このおんせんはただです。,,,5,hot spring
洗う,あらう,まあ大変！ すぐにあらわないとシミになってしまうわ,,,5,"to wash, to cleanse, to rinse"
洗礼,せんれい,「ああ、しつれい。今のは彼女のせんれい名です」,,,5,baptism
染みる,しみる,夕日が目にしみる そんなに悲しいの？,,,5,"to pierce, to penetrate"
染まる,そまる,おおっと 王者の顔面が鮮血にそまった,,,5,"to be dyed, to be tainted"
伝染,でんせん,その国ではコレラのでんせんが蔓延しています。,,,5,"contagion, infection"
独り善がり,ひとりよがり,別に私は 生き返りたくなんかないですよ  ムダなことしましたね ひとりよがりな阿良々木さん,,,5,"self-conceit, self-satisfaction, self-righteousness"
改善,かいぜん,彼は食生活をかいぜんしました。,,,5,"betterment, improvement"
善意,ぜんい,あいつは常にぜんいの第三者でありたいようなのさ  物語の決め手になりたくないらしい,,,5,"virtuous mind, good intentions, good will"
創作,そうさく,「獣姦はそうさくの中だけ！　リアルはちょっと萎えるから」,,,5,"creation, production"
創造,そうぞう,｢彼の発言や見識の源は全てﾔﾝ･ｳｪﾝﾘｰ語録のうちにある｣  ｢彼はそうぞうせず全てを剽窃した｣,,,5,creation
奏でる,かなでる,喪服の楽団がかなでる旋律で霜月は高く穏やかに運ばれて行く。,,,5,to play an instrument (esp. string instruments)
演奏,えんそう,彼女のピアノのえんそうは素晴らしいね。,,,5,musical performance
奏上,そうじょう,この日 カイザー･ラインハルトは軽い発熱もあって  あえて出席せず 自由な討論の結果がそうじょうされることになっていた,,,5,report to the Emperor
一層,いっそう,雨がいっそう激しくなったね。,,,5,"much more, still more, all the more"
大層,たいそう,彼はたいそう喜んでいました。,,,5,"very, extremely, exceedingly"
操る,あやつる,人を狂信的にあやつるディオ いったいどんな男なんだ,,,5,"to operate (e.g. a machine), to handle, to manage"
体操,たいそう,兄はたいそうの選手です。,,,5,"gymnastics, physical exercises, calisthenics"
窓,まど,まどを開けてください。,,,5,window
同窓,どうそう,どうそうのワイドボーンは少将だった。ただし彼は大佐のとき正攻法にこだわって敵の奇襲をうけ、戦死して二階級を特進していたのだ……。,,,5,the same school
装う,よそおう,わざと冷酷さをよそおっている,,,5,"to dress (oneself in), to attire oneself in, to adorn"
服装,ふくそう,今日、彼女は地味なふくそうをしていますね。,,,5,"garments, attire"
心臓,しんぞう,祖母はしんぞうが悪いんだ。,,,5,heart
内臓,ないぞう,来週、ないぞうを検査します。,,,5,"internal organs, intestines, viscera"
冷蔵庫,れいぞうこ,れいぞうこが故障しました。,,,5,"refrigerator, fridge"
大蔵省,おおくらしょう,彼はおおくらしょうに勤務しているんだよ。,,,5,(former) Ministry of Finance (1869-2001)
存在,そんざい,私にとって動物は身近なそんざいです。,,,5,"existence, being"
ご存じ,ごぞんじ,こういった御仁をごぞんじありませんかな,,,5,knowing
保存,ほぞん,データを30分おきにほぞんしてください。,,,5,"preservation, conservation"
尊い,とうとい,たとえば、何々学院の何々女史とでもいったような者が「子供の純真性はとうとい」などと甚だあいまい模糊たる事を憂い顔で言って歎息して、それを女史のお弟子の婦人がそのまま信奉して自分の亭主に訴える。,,,5,"precious, valuable, priceless"
尊重,そんちょう,貴官らの意思はそんちょうしよう だが ある程度の処罰は覚悟しておけ,,,5,"respect, esteem, regard"
帰宅,きたく,夜の11時にきたくしました。,,,5,returning home
住宅,じゅうたく,この辺はじゅうたくが立て込んでいます。,,,5,"residence, housing, residential building"
担ぐ,かつぐ,彼は大きな荷物をかついで来たの。,,,5,"to shoulder, to carry on one's shoulder"
担う,になう,疾風ウォルフともあろうお人が私情にかられて  一国をになう重責をないがしろになさるか！,,,5,"to carry on one's shoulder, to shoulder"
負担,ふたん,交通費は個人ふたんです。,,,5,"burden, load, responsibility"
探す,さがす,ここだと思ったんだが…手分けしてさがすしかないな,,,5,to search
探究,たんきゅう,宇宙たんきゅうで色々なことが分かってきている,,,5,"research, investigation, enquiry, inquiry, study"
誕生日,たんじょうび,たんじょうびに小鳥を買ってもらいました。,,,5,birthday
暖かい,あたたかい,今年の春はあたたかいね。,,,5,"warm, mild"
温暖,おんだん,日本の気候はおんだんです。,,,5,"warm, mild, temperate"
手段,しゅだん,どんなしゅだんでも 意志の疎通はできなかったぜ,,,5,"means, way, measure"
値段,ねだん,「それって無味無臭な薬物なのかなぁ？　すごくねだん高くない？」,,,5,"price, cost"
階段,かいだん,私たちは駅のかいだんをかけ上がった。,,,5,"stairs, stairway, staircase"
値する,あたいする,その絵は一見にあたいしますよ。,,,5,"to be worth, to be worthy of, to deserve"
価値,かち,あの皇帝のどこに 忠節をつくすかちがある？,,,5,"value, worth, merit"
宙,ちゅう,そのまま馬が突進 当然ジョジョの体はハンマーを軸回転して ちゅうへ,,,5,"space, air, midair"
忠実,ちゅうじつ,お前は一体 俺の何だ   私は閣下のちゅうじつな部下です,,,5,"faithful, devoted, loyal, honest, true"
忠告,ちゅうこく,愚かな怪異に唆されて ひどい目に遭うのを看過はできないからちゅうこくしておく,,,5,"advice, warning"
著しい,いちじるしい,彼の成長はいちじるしいです。,,,5,"striking, remarkable, considerable"
著す,あらわす,この本では自然の大切さがよくあらわされているよ。,,,5,"to write, to publish"
著者,ちょしゃ,ちょしゃなどは機密だが ゼートゥーアから渡された論文だ,,,5,"author (usu. of a particular book), writer"
庁舎,ちょうしゃ,彼は工部省の仮ちょうしゃに寝泊まりして 昼夜を問わずに職務を遂行していた,,,5,government office building
都庁,とちょう,あの高い建物がとちょうです。,,,5,Tokyo Government Office
潮,しお,しおが引いたら砂のお城を作ろう,,,5,"tide, current"
潮流,ちょうりゅう,人類の社会には思想のちょうりゅうが２つあるんだ  人の命以上の価値があるという説と 命に勝るものはないという説とだ,,,5,"tide, tidal current"
