word,reading,example,,,level,meaning
本音,ほんね,少佐 私はほんねで話してほしい,,,10,"real intention, true opinion"
下,した,あいつ どこかで見たことあると 思ったんだけどさ さっき本屋で見かけて はっきりした したの妹の旧友みたいなんだ,,,10,"below, down, under"
下さる,くださる,黒の騎士団の残党に　正義の裁きがくだされます,,,10,"to give, to confer"
下がる,さがる,どんどん体温がさがっていく,,,10,"to come down, to go down"
上,うえ,全てが零閃の射程範囲内 違うな 真うえの敵には居合い抜きもねえだろう,,,10,"above, up"
上げる,あげる,水蒸気爆発だ 水は急激に温度をあげると爆発的に膨張する,,,10,"to raise, to elevate"
火,ひ,ひをつけたのはあいつらだ,,,10,"fire, flame"
火山,かざん,この辺りはかざんに近いため　溶岩石も多く,,,10,volcano
花,はな,はなが咲いてる,,,10,"flower, blossom"
貝,かい,南方の木の実やかいの殻　巨大な深海魚,,,10,shellfish
大学,だいがく,ひょっとして戦場ヶ原さんと 同じだいがくを目指すってこと？,,,10,"post-secondary education institution, incl. university"
学校,がっこう,あいつ 病弱だからって よくがっこうを休むだろ,,,10,school
人気,にんき,ずいぶんとにんきがある絵師だったんだがね,,,10,"popularity, public favor"
空気,くうき,ここでもくうき読めないやつってのがいるんだ,,,10,"air, atmosphere"
休み,やすみ,スザクだって そのせいで 今日もやすみなんだし,,,10,"rest, recess"
休日,きゅうじつ,私はね きゅうじつは散歩の日なの,,,10,"holiday, day off"
玉,たま,クソッ あんなとこに たまが転がってるなんて… あ！,,,10,"ball, sphere, globe"
目玉,めだま,スイのめだまはもう死んでる,,,10,eyeball
金,きん,きん髪にきん色の瞳,,,10,gold
年金,ねんきん,この「知っておきたいねんきんのはなし　２０歳になったら国民ねんきん」では ねんきん制度のあらましについて、お話しします。,,,10,"annuity, pension"
金,かね,気付いたらおかねが残り少ない 出店の出費だって安くないんだから,,,10,money
空,そら,なのに夜神君は少しも楽しそうじゃなく、ずっと上のそらです,,,10,"sky, the air"
空,から,この瓶はもうからね。,,,10,"emptiness, vacuum"
月,つき,雨降りでつきが見えなかったね。,,,10,"moon, month"
九月,くがつ,妹はくがつにアメリカの大学に入学します。,,,10,September
ヶ月,かげつ,工事の予定が1かげつ延びてしまった。,,,10,months (period of)
犬,いぬ,いぬを鎖でつなぎました。,,,10,dog
見る,みる,私は世界情勢を知るために毎日ニュースをみるわ。,,,10,"to see, to look"
見学,けんがく,今日、工場のけんがくに行きました。,,,10,"inspection, study by observation"
口,くち,くちを大きく開けてください。,,,10,mouth
人口,じんこう,その国のじんこうはどのくらいですか。,,,10,population
山,やま,今日はやまがはっきり見える。,,,10,"mountain, hill"
子,こ,そのこは日本語が分からない。,,,10,child
糸,いと,母はいとを針に通した。,,,10,"thread, yarn,"
一糸まとわぬ,いっしまとわぬ,☆いっしまとわぬ心で☆,,,10,stark naked
字,じ,こなたさん、じが摩訶不思議…,,,10,character (i.e. kanji)
耳,みみ,老いぼれて みみが遠くなったか？ ジジイ,,,10,ear
車,くるま,くるまが溝にはまったの。,,,10,car
手,て,「黎明期だったからすっげー高くて、個人にはてが出せなかったらしい」,,,10,hand
出る,でる,彼は選挙にでるつもりだ。,,,10,"to leave, to exit"
出す,だす,貴様なぞにだす茶はないぞ,,,10,"to take out, to get out"
女,おんな,おんなが警察庁に戻るまで約五分…,,,10,"female, woman"
小,しょう,私の初恋はしょう学生の時です。,,,10,small
小さい,ちいさい,地図内のちいさい建物は省略してあります。,,,10,"small, little"
森,もり,雲の切れ間 深界二層「誘いのもり」だよ,,,10,forest shrine grove
森林,しんりん,世界中でしんりんが失われています。,,,10,"forest, woods"
人,ひと,最近ヨガをやるひとが急増しています。,,,10,"man, person"
水,みず,みずが沸騰したよ。,,,10,water
正しい,ただしい,「こんな言葉が……水上さんにとってのただしい注釈になるのかな？」,,,10,"right, correct"
校正,こうせい,文章こうせい機能が備わっています,,,10,proofreading
生きる,いきる,絢爛たる永遠をいきる それが　このディオの運命なのだ,,,10,"to live, to exist"
生まれる,うまれる,ヤツらを逃せば あの中から 帝国に憎悪を燃やす 新兵がうまれるだろう,,,10,to be born
先生,せんせい,せんせい　調子はいかがです 納期も迫っておりますが ああ　任せてくださいよ,,,10,"teacher, master"
青い,あおい,ここの海はとてもあおい。,,,10,blue
青年,せいねん,町のせいねんたちはボランティア活動をしています。,,,10,"youth, young man"
石,いし,いしが粉々に砕けましたね。,,,10,stone
赤い,あかい,あかい線を2本引いて下さい。,,,10,"red, crimson, scarlet"
先,さき,今は このまま身一つでやってみたい さきが視えない事が嬉しいんだ,,,10,"previous, prior"
千,せん,せん円貸してください。,,,10,"1,000, thousand"
川,かわ,2つの市の境にかわが流れているの。,,,10,"river, stream"
早い,はやい,月日が経つのははやいものです。,,,10,"fast, quick, hasty"
草,くさ,今朝は庭のくさに霜が降りていたの。,,,10,"grass, weed, herb"
足,あし,奴はあしが細切れになりすぎて まだ完全に回復しきれてねえ そこが付け目だ,,,10,"foot, leg"
足りる,たりる,お金がたりなくて買えなかった。,,,10,"to be sufficient, to be enough"
村,むら,この峠を越えるとむらがあります。,,,10,village
大い,おおい,今夜はおおいに語りましょう。,,,10,"a great deal, very much"
男,おとこ,まさかこんなに早く あんな凡庸なおとこが,,,10,"man, male"
男女,だんじょ,あの二人 ただの主従関係ではあるまいな 勿論 だんじょの関係でもない,,,10,"men and women, man and woman"
竹,たけ,女房は陶然と白いたけに縋りついていた,,,10,bamboo
竹林,ちくりん,そのちくりんで休んでいると　 奇妙な男に声をかけられた,,,10,bamboo thicket
中,なか,一人一人に訊問するようなことをして申し訳ありませんでした このなかに、キラはいません,,,10,"medium, average"
虫,むし,庭で秋のむしが鳴いているね。,,,10,"insect, bug"
町,まち,あのまちは緑を増やしています。,,,10,"town, block"
町村,ちょうそん,このイベントは出店をまちとむらに限定しているのが特徴で341のちょうそんが出店しています,,,10,towns and villages
天,てん,てんから恵みの雨が降ったね。,,,10,sky heaven
天気,てんき,今日はいいてんきですね。,,,10,weather
田,た,今はたに水を入れる季節です。,,,10,rice field
土,つち,春には燃やした灰がつちを肥やしてくれてるはずだ,,,10,"earth, soil"
日,ひ,夏はひが長い。,,,10,day
入る,はいる,師走にはいると忙しくなります。,,,10,"to enter, to go into"
入れる,いれる,凄い金額じゃない 欲しい物を手にいれるんだよ 情熱も投資も必要だよ,,,10,"to put in, to let in, to take in"
年,とし,新しいとしが始まりました。,,,10,year
白い,しろい,そのしろい粉は赤ちゃんのミルクです。,,,10,white
白人,はくじん,はくじんは人間ではない,,,10,white person
百,ひゃく,私の祖母はひゃく才です。,,,10,"100, hundred"
文,ふみ,中華連邦にいるときも ふみの一通もいただけなくって,,,10,"letter, writings"
文学,ぶんがく,彼女はぶんがくに興味を持っているのよ。,,,10,literature
本,ほん,ほんを１冊買いました。,,,10,book
名,な,彼はなの通った会社に就職しました。,,,10,"name, given name"
木,き,台風できが倒れた。,,,10,"tree, shrub"
目,め,彼女は青いめをしています。,,,10,eye
夕日,ゆうひ,ゆうひが西の空に沈んだね。,,,10,"evening sun, setting sun"
立つ,たつ,見ろ　茶柱がたっておるぞ 幸先が良い,,,10,"to stand, to rise"
力,ちから,お相撲さんは、みんなちから持ちだ。,,,10,"force, strength"
入力,にゅうりょく,彼女の仕事はデータのにゅうりょくです。,,,10,"input, (data) entry"
林,はやし,私たちははやしの中に入っていった。,,,10,"woods, forest"
上下,じょうげ,この服はじょうげセットで買いました。,,,10,"top and bottom, high and low"
大人,おとな,あなたもだいぶおとなになったね。,,,10,adult
文字,もじ,壁にもじが書いてあった。,,,10,"letter (of alphabet), character"
小川,おがわ,おがわがさらさら流れています。,,,10,"stream, brook"
七夕,たなばた,日本では7月7日はたなばたの日です。,,,10,Tanabata
引く,ひく,このドアはひいてください。,,,9,"to pull, to draw etc."
引用,いんよう,かのシカゴ学派をいんようするまでもなく—  ルールは システムの 円滑化に不可欠,,,9,"quotation, citation"
羽,はね,そんなことかゆっくりとはねを伸ばすなり—  混浴を期待するなりしてくるがよい,,,9,"feather, plume"
羽,わ,渡り鳥が一わだけ,,,9,counter for birds and rabbits
雲,くも,「そうなんだけど、あたしもくも行きは怪しいわ。とりあえず取り繕う事はできるけど、事が事でしょう？　この先の命運がかかってるんだから、妥協するワケにもいかないし」,,,9,cloud
公園,こうえん,乞食がこうえんのベンチで寝ている。,,,9,(public) park
遠い,とおい,とおい昔 万能であったその男は力を欲した,,,9,"far, distant"
黄色,きいろ,信号はきいろでした。,,,9,"yellow, amber"
黄金,おうごん,そのまばゆいおうごんの偶像に比べれば 民主主義など色あせた 青銅の偶像でしかないのではないか,,,9,gold
何,なに,まだなにかある,,,9,what
夏,なつ,「でもあの時は、その目印になるはずのなつの大三角は出てなかった……」,,,9,summer
家,いえ,吹は疳のひどい末の妹の子守りとしていえに来た,,,9,"house, residence"
作家,さっか,彼は新聞記者を経てさっかになりました。,,,9,"author, writer"
教科書,きょうかしょ,これは初級のきょうかしょです。,,,9,"textbook, coursebook"
科学,かがく,かがく技術は目覚しく進歩しているの。,,,9,science
歌,うた,アイドル時代の持ちうたなんて どうせ誰も知らないし　あッ,,,9,song
歌手,かしゅ,彼女は国際的に有名なかしゅです。,,,9,singer
計画,けいかく,勝った… けいかく通り…,,,9,"plan, project"
会う,あう,「うん……後で体育館であう感じでいいかな？」,,,9,"to meet, to encounter"
社会,しゃかい,「現代しゃかいは死を捨象したところに存在し、死をタブー視するしゃかいである！」,,,9,"society, public, community"
回る,まわる,月は地球のまわりをまわっています。,,,9,"to turn, to revolve"
今回,こんかい,こんかい これから貝木と会うことで 私は けじめをつけるつもり,,,9,"now, this time"
海,うみ,うみの水は塩辛い。,,,9,"sea, ocean"
北海道,ほっかいどう,日本ではほっかいどうに滞在しました。,,,9,Hokkaido
絵,え,彼はえを本格的に勉強しているんだ。,,,9,"picture, drawing"
絵画,かいが,写真はない  かいがならバトゥアンスタイルで  描き終わるまで待てっての？ 勘弁してよ,,,9,"painting, picture"
外,そと,瞼が透けてそとが視える,,,9,"outside, exterior"
赤外線,せきがいせん,カーテン閉めて電気消すから せきがいせんカメラにもなってますから,,,9,infrared rays
角,かど,次のかどで左に曲がってください。,,,9,corner
角,つの,つのが四本生えてきた,,,9,horn
三角,さんかく,「たしか……夏の大さんかく見るんだよね。分かりやすい星だけど……えっとねこれを持って行きなよ」,,,9,"triangle, triangular"
楽しい,たのしい,あっはは たのしい余興になりそうだね,,,9,"enjoyable, fun"
音楽,おんがく,私はおんがくを聞くのが好きだ。,,,9,"music, musical movement"
楽天,らくてん,私は 今まで何度も何度も だまされ続けているわ だから そんならくてん的なふうには どうしたって ちっとも思えないの,,,9,optimism
生活,せいかつ,時代のせいか  貧富の差は激しく— つらく厳しいせいかつは免れない,,,9,"living, life (one's daily existence)"
時間,じかん,僕にじかんをくれないか  警察に自首するじかんを,,,9,time hours (period of)
人間,にんげん,だが ごくまれに善なるタガのないにんげんがいる  悪のエリート,,,9,human being
間,あいだ,このあいだ彼女に会った。,,,9,"space (between), gap, interval"
丸,まる,今日は月が真んまるです。,,,9,circle
岩,いわ,あのいわまで泳ごう。,,,9,"rock, boulder"
顔,かお,あいつはずるがしこいかおをしているね。,,,9,"face, visage"
帰る,かえる,夜 かえる時は下で松明を灯すから  それを見たら すぐ迎えにくるように  なあ 俺の役目ってそれだけかよ,,,9,"to return, to come home, to go home"
汽車,きしゃ,きしゃで街まで行った。,,,9,train
記す,しるす,けれど、それを紙にしるす時  足の痣には激痛が走った,,,9,"to write down, to note, to jot down"
弓,ゆみ,ブリタニア皇帝にゆみをひくと？,,,9,"bow (and arrow), archery"
弓道,きゅうどう,「ええ。きゅうどう部は問題児も多いし、巧いのが一人減ったからね。四月の新入生獲得の為に、少しぐらいは見栄えを良くしとかないと」,,,9,(Japanese) archery
牛,うし,うしが草を食べています。,,,9,cattle
牛耳る,ぎゅうじる,「河原屋双一っていうのが、ホントに戦後間もない頃からずっとこの秋葉原をぎゅうじってる親分でね」,,,9,"to control, to take the lead in"
魚,さかな,さかなの骨がのどに引っ掛かった。,,,9,fish
金魚,きんぎょ,毎日きんぎょに餌をやります。,,,9,goldfish
京,けい,「何もない空間で間宮くんは、何億年も何兆年も何けい年も生きるの」,,,9,"10^16, ten quadrillion"
東京,とうきょう,今夜中にとうきょうに着くのは到底無理でしょう。,,,9,Tokyo
強い,つよい,相変わらず悪運のつよい女だわ,,,9,"strong, powerful"
教える,おしえる,日本語をおしえる資格を取りたいです。,,,9,"to teach, to instruct"
近い,ちかい,卒業後の不安材料は 限りなくゼロにちかいな,,,9,"near, close, short (distance)"
兄,あに,あには船の設計をしています。,,,9,"elder brother, older brother"
兄弟,きょうだい,エルリックきょうだいに悪事を暴かれて 現在逃亡中です,,,9,"siblings, brothers and sisters"
形,かたち,その椅子は変わったかたちをしている。,,,9,"form, shape, figure"
計る,はかる,100メートル走のタイムをはかったんだ。,,,9,"to measure, to weigh, to survey"
元,もと,ハナがもとに戻ればもらってくださる良縁があるのです,,,9,"origin, source"
元気,げんき,祖父はげんきです。,,,9,"lively, full of spirit"
原,はら,あのはらを拓いた畑にするために　 みんなで土を起こしいたんです,,,9,"field, plain"
草原,そうげん,丘の上からそうげんを見渡したの。,,,9,grass-covered plain
言う,いう,そこまでだ！ 我々が現場を軽視しているとでもいうつもりか！,,,9,"to say, to utter, to declare"
言語,げんご,彼はアジアのげんごを研究している。,,,9,language
古い,ふるい,ふるいお寿司を食べて下痢をしてしまったんだ。,,,9,"old (not person), aged"
中古,ちゅうこ,その車はちゅうこで買ったんだ。,,,9,"used, second-hand, old"
戸,と,「私はメイドですから主より先に休むなど出来ません。それでは と締りの確認をしてきます」,,,9,"door (esp. Japanese-style) shutter, window shutter"
午後,ごご,ごご8時に大阪に着きます。,,,9,"afternoon, p.m."
午前,ごぜん,ごぜん9時のニュースです。,,,9,"morning, a.m."
後,あと,仕事のあと、映画を見た。,,,9,"behind, rear"
後,のち,のちに彼は総理大臣になりました。,,,9,"later, afterwards"
語る,かたる,いつの間にかあたしは  山賊の頭目になっていた  そこから先はかたる価値もない,,,9,"to talk about, to speak of"
交わす,かわす,彼は私と再会の約束をかわした。,,,9,"to exchange (messages, greetings, arguments, etc.)"
交通,こうつう,ここはこうつうの便がよいですね。,,,9,"traffic, transportation, communication"
光,ひかり,スイは本家の末娘で 半年程前  ひかりが当たると目が痛むという病を患った,,,9,light
公,おおやけ,おおやけの政策を軌道に乗せる  総督として当然の処置です,,,9,"official, governmental, formal"
工場,こうじょう,彼は食品こうじょうで働いています。,,,9,"factory, plant, mill"
広い,ひろい,彼の家はとてもひろい。,,,9,"spacious, vast, wide"
広大,こうだい,《より強い王を産むためには こうだいな巣がいる》,,,9,"huge, very large, vast"
考える,かんがえる,彼はいつも物事を深くかんがえるの。,,,9,"to think about, to take into consideration"
思考,しこう,しこうが読めれば 人を操り 誘導するのは たやすい,,,9,"thought, consideration, thinking"
行く,いく,ここは私との友情を育むために一緒にいくトコでしょ,,,9,"to go, to move"
行う,おこなう,しかし、会議は隔週でおこなう、以上,,,9,"to perform, to do, to conduct oneself"
高い,たかい,彼は非常にたかい技術を持っている。,,,9,"high, tall, expensive"
高校,こうこう,明日はこうこうの入試です。,,,9,"senior high school, high school"
合う,あう,否定姫とはどうしてあんなに仲が悪いんだ  どうしてって、まあ　馬があわない　  あいつは私が何度蹴落としてもはい上がってくる  しぶとい,,,9,"to come together, to merge"
国,くに,ここから先は隣のくにの領土です。,,,9,"country, state"
中国,ちゅうごく,2500年前のちゅうごくの兵法書に　『孫子』ってのがあって,,,9,China
黒,くろ,各エリアの軍隊は　 われわれくろの騎士団と対峙しており へたには動けない,,,9,black
黒人,こくじん,自由惑星同盟軍統合作戦本部長シドニー・シトレ元帥は、二メートルになんなんとする長身を有する初老のこくじんだった。,,,9,black person
今,いま,その道はいま、下水の工事をしているよ。,,,9,"now, the present time, just now"
才,さい,彼の長男は8さいです。,,,9,-years-old
天才,てんさい,てんさいとマッドは 紙一重というが—,,,9,"genius, prodigy"
細かい,こまかい,彼は神経がこまかいですね。,,,9,"small, fine"
細い,ほそい,彼女は指がほそいですね。,,,9,"thin, slender, fine"
作る,つくる,今、朝ご飯をつくっています。,,,9,"to make, to produce, to manufacture"
計算,けいさん,小数は切り捨ててけいさんして下さい。,,,9,"calculation, reckoning, count"
姉,あね,あねは大学生です。,,,9,"older sister, elder sister"
姉妹,しまい,「あはははは、そんなわけないじゃん。私は若槻しまいみたいに社交的じゃないもの」,,,9,sisters
市,し,そのしの人口は減り続けているの。,,,9,city
市場,いちば,いちばで新鮮な魚を買ってきました。,,,9,(town) market
思う,おもう,不公平があったようにおもうのです  不公平は是正されねばなりません,,,9,"to think, to consider, to believe"
止まる,とまる,今朝、事故で電車がとまりました。,,,9,"to stop (moving), to come to a stop"
紙,かみ,かみと鉛筆はありますか。,,,9,paper
用紙,ようし,このようしに名前を書いてください。,,,9,blank form sheets of paper
寺,てら,てらのとなりに墓地があります。,,,9,temple (Buddhist)
時,とき,何かの説明をするときは実物を使うとわかりやすいの。,,,9,"time, hour, moment"
自ら,みずから,記録？ みずから事件に介入するのなら それは 捏造だな,,,9,oneself
自分,じぶん,じぶんの壁を突き崩すという 覚悟を持ちなさい！,,,9,"myself, yourself"
室,むろ,（もしかして、これがその地下むろ？）,,,9,"greenhouse, icehouse, cellar"
室内,しつない,温度差でしつないの様子を読み取る,,,9,"indoor, inside the room"
社,やしろ,（なんで、こんな所にやしろが……？）,,,9,shrine (usually Shinto)
弱い,よわい,「やはり女子というのは占いの類によわい……という事かな……」,,,9,"weak, frail, delicate"
弱点,じゃくてん,彼のじゃくてんはスタミナが足りないところです。,,,9,"weak point, weakness"
首,くび,きりんのくびは長い。,,,9,neck
秋,あき,彼女はあきに結婚します。,,,9,"autumn, fall"
立秋,りっしゅう,そうだな りっしゅうまでに見つからなきゃ手を引くよ,,,9,"first day of autumn (approx. Aug. 8), first day of fall"
先週,せんしゅう,せんしゅうは海に行った。,,,9,"last week, the week before"
春,はる,今年のはるは暖かいね。,,,9,"spring, springtime"
青春,せいしゅん,この曲を聞くとせいしゅんの頃を思い出します。,,,9,"youth, springtime of life"
書く,かく,作文をかくのに原稿用紙を使ったの。,,,9,"to write, to compose, to pen"
少し,すこし,「言いすぎた……ごめんっ……なんか、私もすこし感情が昂ぶってたのかも……」,,,9,"small quantity, little"
少ない,すくない,なお 誠に残念だが  訓練用弾薬の備蓄はすくないらしい,,,9,"few, a little, scarce"
多少,たしょう,このソフトにはたしょう問題がある。,,,9,"more or less, somewhat"
立場,たちば,私は中立のたちばを取っています。,,,9,"standpoint, position"
色,いろ,すてきないろのセーターですね。,,,9,"colour, color"
食べる,たべる,シュークリームはどうやってたべる？  え、シュークリームですか？ そうですね　私はまず二つに割って...,,,9,to eat
食う,くう,俺には妹以外肉親はなくて　  里の皆でくう物なんかをお世話してくれた,,,9,to eat
心,こころ,彼は素直なこころを持っている。,,,9,"mind, heart, spirit"
心理,しんり,一変して複雑なしんり戦が始まる  ゲームでもある,,,9,"state of mind, mentality, psychology"
新しい,あたらしい,まさに紙一重の勝利だった  聖地巌流島にまたあたらしい歴史が刻まれたといっても過言ではないな,,,9,"new, novel, fresh"
新聞,しんぶん,今日のしんぶん、どこに置いた?,,,9,newspaper
親,おや,おやの愛は有り難い。,,,9,"parent, parents"
親切,しんせつ,しんせつにしてくださってどうもありがとうございます。,,,9,"kindness, gentleness"
図る,はかる,これからは経営の合理化をはかりたいと思います。,,,9,"to plan, to attempt, to devise"
地図,ちず,「ほら、こうやってこのちずを窓に翳すと……」,,,9,map
数,かず,「人の煩悩のかずと言え、この＠ちゃんねる脳め」,,,9,"number, amount"
数字,すうじ,人命すらすうじとして 消費する狂気の戦争…  それが国家の崩壊まで続くだと？,,,9,"numeral, figure, digit"
星,ほし,今夜はほしがよく見えます。,,,9,star
火星,かせい,NASAによって解明された40億年前のかせいの姿に世界が震えた！,,,9,Mars (planet)
晴れる,はれる,明日ははれるといいですね。,,,9,"to clear up, to clear away"
声,こえ,朝は雀のこえで目が覚めます。,,,9,voice
声明,せいめい,だから さっさとせいめいを出せば よかったんだ！ 俺達の手柄になったのによー,,,9,"declaration, statement"
西,にし,太陽はにしに沈みます。,,,9,west
切る,きる,元々店は傾きかけてたんだよ　  俺をきる体のいい口実探してたのさ,,,9,"to cut, to cut through"
一切,いっさい,私はいっさいその問題とは関係がありません。,,,9,"all, everything, the whole"
雪,ゆき,白はゆきの色です,,,9,snow
回線,かいせん,告げる  諸君らは帝国の領域を侵犯している  オープンかいせん？,,,9,"circuit, line"
船,ふね,ふねから材木が降ろされていますね。,,,9,"ship, boat"
船長,せんちょう,私がこのふねのせんちょうです。,,,9,ship's captain
前,まえ,その店のまえで会いましょう。,,,9,"ago, before (some event), previously, (minutes)"
番組,ばんぐみ,「あんな呆気なくばんぐみ終わるはずないし……」,,,9,"program (e.g. TV), programme"
組合,くみあい,今日はくみあいの集まりがあるわ。,,,9,"association, union"
走る,はしる,今のそなたは呼吸を乱さず何十里もはしることが出来よう,,,9,to run
走行,そうこう,大丈夫だ、筆談などしなくても、  小声なら、そうこう音でここの会話は、犯人には聞こえない,,,9,running a wheeled vehicle
多い,おおい,これだから天然は…  天然って自覚無い人がおおいよネ  そうかも知れませんね～～,,,9,"many, numerous"
太い,ふとい,彼は指がふとい。,,,9,"fat, thick"
体,からだ,私はからだが丈夫だ。,,,9,body
女体,にょたい,にょたいに意味はありません,,,9,woman's body
台,だい,そこにちょうど良いだいがある。,,,9,"stand, rack, table"
台風,たいふう,たいふうが近づいている。,,,9,"typhoon, hurricane"
谷,たに,その村は深いたににあるの。,,,9,valley
知る,しる,あの日の惨事をしるのは 僕とスピードワゴンの二人だけ,,,9,"to be aware of, to know"
通知,つうち,明日、詳細をつうちします。,,,9,"notice, notification, report"
土地,とち,この奇跡がなかったら　 このやせたとちで 俺達は今まで生き延びてはこられなかっただろうから,,,9,"plot of land, lot, soil"
池,いけ,いけに鯉がいます。,,,9,pond
電池,でんち,新しいでんちを入れましょう。,,,9,"battery, cell"
茶,ちゃ,ただのちゃ柱だろ  縁起物というのはだな  都合の良いときだけあやかっておけばよいのだ,,,9,tea
昼,ひる,おひるにそばを食べた。,,,9,"noon, midday"
昼食,ちゅうしょく,ちゅうしょくに寿司を食べました。,,,9,"lunch, midday meal"
朝,あさ,このような 寝間着の女性が迎えるあさ  という状況を 私なりに演じてみたのですが,,,9,morning
早朝,そうちょう,私はそうちょうのジョギングを日課にしています。,,,9,early morning
長,おさ,彼女はゆんゆん  紅魔族のおさの娘で私の自称ライバルです,,,9,"head, chief, leader"
長い,ながい,その踏切はながい。,,,9,long
村長,そんちょう,そんちょうの白沢でございます,,,9,"village headman, village mayor"
鳥,とり,「何そのカササギって？」  「とりだよ、あんまり日本にはいないけどね……」,,,9,bird
直す,なおす,私がそれをなおしました。,,,9,"to cure, to heal"
直で,ちょくで,はい　ちょくで来ちゃいました,,,9,"direct, in person"
正直,しょうじき,しょうじき その熱意を別のベクトルに 向けていただきたいのですが…,,,9,"honesty, integrity, frankness"
通る,とおる,心配するな 手綱は波紋がとおるようにできている,,,9,"to go by, to go past, to go along"
通す,とおす,針に糸をとおしてください。,,,9,"to stick through, to force through"
弟,おとうと,おとうとは切手を集めています。,,,9,"younger brother, little brother"
弟子,でし,「いえ、大丈夫です！　フウリならきっと――」  「おい でし！　いきなり呼び捨てかよ！？」,,,9,"pupil, disciple"
店,みせ,そのみせを通り掛かったらバーゲンをやっていた。,,,9,"store, shop, establishment"
書店,しょてん,駅前に新しいしょてんができました。,,,9,"bookshop, bookstore"
点,てん,そのてんは心配ありません。,,,9,"spot, mark"
電車,でんしゃ,でんしゃの終点で降りました。,,,9,"train, electric train"
冬,ふゆ,カナダのふゆはとても寒いです。,,,9,winter
刀,かたな,正念場だ  この状況を打破すれば  僕は四季崎のかたなを手に入れることができる,,,9,"(single-edged) sword, katana"
東,ひがし,ひがしの空が暗いです。,,,9,east
当たる,あたる,死んだ人のだから罰があたるぞ,,,9,"to be hit, to strike"
本当に,ほんとうに,「ほ……ほんとうに！？」 「女に二言はねぇ！」,,,9,"really, truly"
答える,こたえる,恐がらなくていい  君はすぐに自分の意志を失い　  僕の質問にこたえる,,,9,"to answer, to reply"
回答,かいとう,ほーう  すばらしいかいとうだ  いっそ“常在戦場の食堂”とでも名付けてみようか,,,9,"reply, answer"
頭,あたま,ワン  もう、あたまにきたぞ！  自分は知らないからな  収録にも来なくていい！,,,9,head
頭,かしら,彼は一家のおかしらだったの。,,,9,leader
同じ,おなじ,推敲しても推敲しても結果はおなじだ,,,9,"same, identical, equal"
同一,どういつ,この人とその人は、どういつ人物ですか。,,,9,"identical, same, one and the same"
道,みち,別のみちに行ってみるのはどう？ 探検,,,9,"road, street, way"
水道,すいどう,彼はすいどうの蛇口をひねったの。,,,9,"water service, water supply"
読む,よむ,「さぁ……ボクは良く分からないよ……そんなのよむ人間の気が知れないね」,,,9,to read
読書,どくしょ,私の趣味はどくしょです。,,,9,reading
